state_code_census,district_code_census,district_name_census_raw,households_2011,population_total_2011,population_male_2011,population_female_2011,literate_total_2011,literate_male_2011,literate_female_2011,state_name_census_raw,state_name_census_clean,district_name_census_clean
1,1,Kupwara,113929,870354,474190,396164,439654,282823,156831,JAMMU & KASHMIR,JAMMU AND KASHMIR,KUPWARA
1,2,Badgam,103363,753745,398041,355704,335649,207741,127908,JAMMU & KASHMIR,JAMMU AND KASHMIR,BADGAM
1,3,Leh(Ladakh),21909,133487,78971,54516,93770,62834,30936,JAMMU & KASHMIR,JAMMU AND KASHMIR,LEH
1,4,Kargil,18338,140802,77785,63017,86236,56301,29935,JAMMU & KASHMIR,JAMMU AND KASHMIR,KARGIL
1,5,Punch,90261,476835,251899,224936,261724,163333,98391,JAMMU & KASHMIR,JAMMU AND KASHMIR,PUNCH
1,6,Rajouri,130401,642415,345351,297064,364109,224469,139640,JAMMU & KASHMIR,JAMMU AND KASHMIR,RAJOURI
1,7,Kathua,119583,616435,326109,290326,389204,228499,160705,JAMMU & KASHMIR,JAMMU AND KASHMIR,KATHUA
1,8,Baramula,152635,1008039,534733,473306,545149,337170,207979,JAMMU & KASHMIR,JAMMU AND KASHMIR,BARAMULA
1,9,Bandipore,58392,392232,207680,184552,185979,117058,68921,JAMMU & KASHMIR,JAMMU AND KASHMIR,BANDIPORE
1,10,Srinagar,191678,1236829,651124,585705,748584,431746,316838,JAMMU & KASHMIR,JAMMU AND KASHMIR,SRINAGAR
1,11,Ganderbal,45361,297446,158720,138726,143276,90581,52695,JAMMU & KASHMIR,JAMMU AND KASHMIR,GANDERBAL
1,12,Pulwama,86241,560440,293064,267376,293958,178326,115632,JAMMU & KASHMIR,JAMMU AND KASHMIR,PULWAMA
1,13,Shupiyan,44411,266215,136480,129735,136500,80355,56145,JAMMU & KASHMIR,JAMMU AND KASHMIR,SHUPIYAN
1,14,Anantnag,153640,1078692,559767,518925,545532,324417,221115,JAMMU & KASHMIR,JAMMU AND KASHMIR,ANANTNAG
1,15,Kulgam,73728,424483,217620,206863,209085,125052,84033,JAMMU & KASHMIR,JAMMU AND KASHMIR,KULGAM
1,16,Doda,79636,409936,213641,196295,219083,138620,80463,JAMMU & KASHMIR,JAMMU AND KASHMIR,DODA
1,17,Ramban,55490,283713,149132,134581,124065,82938,41127,JAMMU & KASHMIR,JAMMU AND KASHMIR,RAMBAN
1,18,Kishtwar,45209,230696,120165,110531,107506,68700,38806,JAMMU & KASHMIR,JAMMU AND KASHMIR,KISHTWAR
1,19,Udhampur,99240,554985,296784,258201,322354,197543,124811,JAMMU & KASHMIR,JAMMU AND KASHMIR,UDHAMPUR
1,20,Reasi,56689,314667,166461,148206,150542,93937,56605,JAMMU & KASHMIR,JAMMU AND KASHMIR,REASI
1,21,Jammu,314199,1529958,813821,716137,1137135,641916,495219,JAMMU & KASHMIR,JAMMU AND KASHMIR,JAMMU
1,22,Samba,65385,318898,169124,149774,228139,130312,97827,JAMMU & KASHMIR,JAMMU AND KASHMIR,SAMBA
2,23,Chamba,102460,519080,261320,257760,323842,186064,137778,HIMACHAL PRADESH,HIMACHAL PRADESH,CHAMBA
2,24,Kangra,338887,1510075,750591,759484,1152640,606443,546197,HIMACHAL PRADESH,HIMACHAL PRADESH,KANGRA
