state_name_raw,district_name_raw,state_name_match,district_name_match,reporting_offices_total,population_total_2011,_merge
ANDAMAN & NICOBAR ISLANDS,Nicobar,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,3.0,,left_only
ANDAMAN & NICOBAR ISLANDS,North And Middle Andaman,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,8.0,105597.0,both
ANDAMAN & NICOBAR ISLANDS,South Andaman,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,45.0,238142.0,both
ANDHRA PRADESH,Adilabad,ANDHRA PRADESH,ADILABAD,221.0,2741239.0,both
ANDHRA PRADESH,Anantapur,ANDHRA PRADESH,ANANTAPUR,359.0,4081148.0,both
ANDHRA PRADESH,Chittoor,ANDHRA PRADESH,CHITTOOR,435.0,4174064.0,both
ANDHRA PRADESH,East Godavari,ANDHRA PRADESH,EAST GODAVARI,558.0,5154296.0,both
ANDHRA PRADESH,Guntur,ANDHRA PRADESH,GUNTUR,581.0,4887813.0,both
ANDHRA PRADESH,Hyderabad,ANDHRA PRADESH,HYDERABAD,1016.0,3943323.0,both
ANDHRA PRADESH,Karimnagar,ANDHRA PRADESH,KARIMNAGAR,330.0,3776269.0,both
ANDHRA PRADESH,Khammam,ANDHRA PRADESH,KHAMMAM,253.0,2797370.0,both
ANDHRA PRADESH,Krishna,ANDHRA PRADESH,KRISHNA,606.0,4517398.0,both
ANDHRA PRADESH,Kurnool,ANDHRA PRADESH,KURNOOL,354.0,4053463.0,both
ANDHRA PRADESH,Mahbubnagar,ANDHRA PRADESH,MAHBUBNAGAR,291.0,4053028.0,both
ANDHRA PRADESH,Medak,ANDHRA PRADESH,MEDAK,273.0,3033288.0,both
ANDHRA PRADESH,Nalgonda,ANDHRA PRADESH,NALGONDA,293.0,3488809.0,both
ANDHRA PRADESH,Nellore,ANDHRA PRADESH,NELLORE,332.0,,left_only
ANDHRA PRADESH,Nizamabad,ANDHRA PRADESH,NIZAMABAD,265.0,2551335.0,both
ANDHRA PRADESH,Prakasam,ANDHRA PRADESH,PRAKASAM,357.0,3397448.0,both
ANDHRA PRADESH,Rangareddi,ANDHRA PRADESH,RANGAREDDI,690.0,,left_only
ANDHRA PRADESH,Srikakulam,ANDHRA PRADESH,SRIKAKULAM,209.0,2703114.0,both
ANDHRA PRADESH,Visakhapatnam,ANDHRA PRADESH,VISAKHAPATNAM,539.0,4290589.0,both
ANDHRA PRADESH,Vizianagaram,ANDHRA PRADESH,VIZIANAGARAM,205.0,2344474.0,both
ANDHRA PRADESH,Warangal,ANDHRA PRADESH,WARANGAL,299.0,3512576.0,both
ANDHRA PRADESH,West Godavari,ANDHRA PRADESH,WEST GODAVARI,448.0,3936966.0,both
ANDHRA PRADESH,Y.S.R.,ANDHRA PRADESH,Y S R,285.0,2882469.0,both
ARUNACHAL PRADESH,Anjaw,ARUNACHAL PRADESH,ANJAW,2.0,21167.0,both
ARUNACHAL PRADESH,Chunglang,ARUNACHAL PRADESH,CHUNGLANG,5.0,,left_only
ARUNACHAL PRADESH,Dibang Valley,ARUNACHAL PRADESH,DIBANG VALLEY,1.0,8004.0,both
ARUNACHAL PRADESH,East Kameng,ARUNACHAL PRADESH,EAST KAMENG,2.0,78690.0,both
ARUNACHAL PRADESH,East Siang,ARUNACHAL PRADESH,EAST SIANG,14.0,99214.0,both
ARUNACHAL PRADESH,Kurung Kumey,ARUNACHAL PRADESH,KURUNG KUMEY,2.0,92076.0,both
ARUNACHAL PRADESH,Lohit,ARUNACHAL PRADESH,LOHIT,7.0,145726.0,both
ARUNACHAL PRADESH,Longding,ARUNACHAL PRADESH,LONGDING,3.0,,left_only
ARUNACHAL PRADESH,Lower Dibang Valley,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,2.0,54080.0,both
ARUNACHAL PRADESH,Lower Subansiri,ARUNACHAL PRADESH,LOWER SUBANSIRI,6.0,83030.0,both
ARUNACHAL PRADESH,Papumpare,ARUNACHAL PRADESH,PAPUMPARE,39.0,,left_only
ARUNACHAL PRADESH,Tawang,ARUNACHAL PRADESH,TAWANG,6.0,49977.0,both
ARUNACHAL PRADESH,Tirap,ARUNACHAL PRADESH,TIRAP,2.0,111975.0,both
ARUNACHAL PRADESH,Upper Siang,ARUNACHAL PRADESH,UPPER SIANG,2.0,35320.0,both
ARUNACHAL PRADESH,Upper Subansiri,ARUNACHAL PRADESH,UPPER SUBANSIRI,4.0,83448.0,both
ARUNACHAL PRADESH,West Kameng,ARUNACHAL PRADESH,WEST KAMENG,9.0,83947.0,both
ARUNACHAL PRADESH,West Siang,ARUNACHAL PRADESH,WEST SIANG,9.0,112274.0,both
ASSAM,Baksa,ASSAM,BAKSA,28.0,950075.0,both
ASSAM,Barpeta,ASSAM,BARPETA,69.0,1693622.0,both
ASSAM,Bongaigaon,ASSAM,BONGAIGAON,38.0,738804.0,both
ASSAM,Cachar,ASSAM,CACHAR,104.0,1736617.0,both
ASSAM,Chirang,ASSAM,CHIRANG,17.0,482162.0,both
ASSAM,Darrang,ASSAM,DARRANG,38.0,928500.0,both
ASSAM,Dhemaji,ASSAM,DHEMAJI,21.0,686133.0,both
ASSAM,Dhubri,ASSAM,DHUBRI,55.0,1949258.0,both
ASSAM,Dibrugarh,ASSAM,DIBRUGARH,118.0,1326335.0,both
ASSAM,Goalpara,ASSAM,GOALPARA,44.0,1008183.0,both
ASSAM,Golaghat,ASSAM,GOLAGHAT,62.0,1066888.0,both
ASSAM,Hailakandi,ASSAM,HAILAKANDI,28.0,659296.0,both
ASSAM,Jorhat,ASSAM,JORHAT,86.0,1092256.0,both
ASSAM,Kamrup,ASSAM,KAMRUP,83.0,1517542.0,both
ASSAM,Kamrup Metropolitan,ASSAM,KAMRUP METROPOLITAN,269.0,1253938.0,both
ASSAM,Karbi Anglong,ASSAM,KARBI ANGLONG,55.0,956313.0,both
ASSAM,Karimganj,ASSAM,KARIMGANJ,54.0,1228686.0,both
ASSAM,Kokrajhar,ASSAM,KOKRAJHAR,32.0,887142.0,both
ASSAM,Lakhimpur,ASSAM,LAKHIMPUR,56.0,1042137.0,both
ASSAM,Morigaon,ASSAM,MORIGAON,38.0,957423.0,both
ASSAM,Nagaon,ASSAM,NAGAON,118.0,2823768.0,both
ASSAM,Nalbari,ASSAM,NALBARI,52.0,771639.0,both
ASSAM,North Cachar Hills,ASSAM,NORTH CACHAR HILLS,19.0,,left_only
ASSAM,Sibsagar,ASSAM,SIBSAGAR,78.0,,left_only
ASSAM,Sonitpur,ASSAM,SONITPUR,104.0,1924110.0,both
ASSAM,Tinsukia,ASSAM,TINSUKIA,95.0,1327929.0,both
ASSAM,Udalguri,ASSAM,UDALGURI,29.0,831668.0,both
BIHAR,Araria,BIHAR,ARARIA,94.0,2811569.0,both
BIHAR,Arwal,BIHAR,ARWAL,34.0,700843.0,both
BIHAR,Aurangabad,BIHAR,AURANGABAD,115.0,2540073.0,both
BIHAR,Banka,BIHAR,BANKA,70.0,2034763.0,both
BIHAR,Begusarai,BIHAR,BEGUSARAI,138.0,2970541.0,both
BIHAR,Bhagalpur,BIHAR,BHAGALPUR,187.0,3037766.0,both
BIHAR,Bhojpur,BIHAR,BHOJPUR,144.0,2728407.0,both
BIHAR,Buxar,BIHAR,BUXAR,103.0,1706352.0,both
BIHAR,Darbhanga,BIHAR,DARBHANGA,193.0,3937385.0,both
BIHAR,Gaya,BIHAR,GAYA,212.0,4391418.0,both
BIHAR,Gopalganj,BIHAR,GOPALGANJ,124.0,2562012.0,both
BIHAR,Jamui,BIHAR,JAMUI,67.0,1760405.0,both
