state_name_raw,district_name_raw,state_name_match,district_name_match,reporting_offices_total,population_total_2011,_merge
ANDAMAN & NICOBAR ISLANDS,Nicobar,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,3.0,,left_only
ANDHRA PRADESH,Nellore,ANDHRA PRADESH,NELLORE,332.0,,left_only
ANDHRA PRADESH,Rangareddi,ANDHRA PRADESH,RANGAREDDI,690.0,,left_only
ARUNACHAL PRADESH,Chunglang,ARUNACHAL PRADESH,CHUNGLANG,5.0,,left_only
ARUNACHAL PRADESH,Longding,ARUNACHAL PRADESH,LONGDING,3.0,,left_only
ARUNACHAL PRADESH,Papumpare,ARUNACHAL PRADESH,PAPUMPARE,39.0,,left_only
ASSAM,North Cachar Hills,ASSAM,NORTH CACHAR HILLS,19.0,,left_only
ASSAM,Sibsagar,ASSAM,SIBSAGAR,78.0,,left_only
BIHAR,Paschimi Champaran,BIHAR,PASCHIMI CHAMPARAN,152.0,,left_only
BIHAR,Purbi Champaran,BIHAR,PURBI CHAMPARAN,201.0,,left_only
CHHATTISGARH,Balod,CHHATTISGARH,BALOD,57.0,,left_only
CHHATTISGARH,Balodabazar,CHHATTISGARH,BALODABAZAR,80.0,,left_only
CHHATTISGARH,Balrampur,CHHATTISGARH,BALRAMPUR,34.0,,left_only
CHHATTISGARH,Bemetara,CHHATTISGARH,BEMETARA,45.0,,left_only
CHHATTISGARH,Dantewada,CHHATTISGARH,DANTEWADA,17.0,,left_only
CHHATTISGARH,Gariyaband,CHHATTISGARH,GARIYABAND,23.0,,left_only
CHHATTISGARH,Kanker,CHHATTISGARH,KANKER,48.0,,left_only
CHHATTISGARH,Kawardha,CHHATTISGARH,KAWARDHA,44.0,,left_only
CHHATTISGARH,Kondagaon,CHHATTISGARH,KONDAGAON,26.0,,left_only
CHHATTISGARH,Mungeli,CHHATTISGARH,MUNGELI,26.0,,left_only
CHHATTISGARH,Sukma,CHHATTISGARH,SUKMA,9.0,,left_only
CHHATTISGARH,Surajpur,CHHATTISGARH,SURAJPUR,57.0,,left_only
GUJARAT,Ahmedabad,GUJARAT,AHMEDABAD,978.0,,left_only
GUJARAT,Aravalli,GUJARAT,ARAVALLI,68.0,,left_only
GUJARAT,Botad,GUJARAT,BOTAD,40.0,,left_only
GUJARAT,Dangs,GUJARAT,DANGS,12.0,,left_only
GUJARAT,Mahisagar,GUJARAT,MAHISAGAR,50.0,,left_only
HIMACHAL PRADESH,Kulu,HIMACHAL PRADESH,KULU,85.0,,left_only
