state,district,bank_nfhs4,bank_nfhs4_lb,bank_nfhs4_ub,bank_nfhs5,bank_nfhs5_lb,bank_nfhs5_ub,micro_know_nfhs4,micro_know_nfhs4_lb,micro_know_nfhs4_ub,micro_know_nfhs5,micro_know_nfhs5_lb,micro_know_nfhs5_ub,micro_use_nfhs4,micro_use_nfhs4_lb,micro_use_nfhs4_ub,micro_use_nfhs5,micro_use_nfhs5_lb,micro_use_nfhs5_ub,bank_change,micro_know_change,micro_use_change
Andaman & Nicobar Islands,Nicobars,67.6,64.3,70.9,92.4,90.5,94.3,21.8,18.9,24.8,37.7,34.3,41.1,1.9,0.9,2.8,4.0,2.6,5.3,24.80000000000001,15.900000000000002,2.1
Andaman & Nicobar Islands,North & Middle Andaman,70.7,68.9,72.6,90.7,89.5,91.8,48.6,46.6,50.6,34.8,32.8,36.7,2.1,1.6,2.7,4.2,3.4,5.0,20.0,-13.800000000000004,2.1
Andaman & Nicobar Islands,South Andamans,79.0,77.9,80.1,89.2,88.3,90.0,48.9,47.6,50.2,35.9,34.6,37.2,2.1,1.7,2.5,3.2,2.8,3.7,10.200000000000003,-13.0,1.1
Andhra Pradesh,Anantapur,66.0,65.7,66.3,84.5,84.3,84.8,70.9,70.7,71.2,70.0,69.7,70.3,26.8,26.5,27.1,35.8,35.5,36.1,18.5,-0.9000000000000057,8.999999999999996
Andhra Pradesh,Chittoor,67.9,67.6,68.2,84.4,84.1,84.6,64.1,63.8,64.4,56.1,55.8,56.4,28.4,28.1,28.6,25.0,24.7,25.3,16.5,-7.999999999999993,-3.3999999999999986
Andhra Pradesh,East Godavari,65.7,65.5,66.0,80.9,80.7,81.1,69.9,69.7,70.2,61.0,60.8,61.3,26.7,26.5,27.0,26.5,26.3,26.7,15.200000000000003,-8.900000000000006,-0.1999999999999993
Andhra Pradesh,Guntur,70.4,70.1,70.7,82.8,82.6,83.0,78.9,78.7,79.2,61.9,61.6,62.2,31.3,31.0,31.6,31.8,31.5,32.0,12.399999999999991,-17.000000000000007,0.5
Andhra Pradesh,Krishna,72.4,72.2,72.7,86.6,86.4,86.8,77.3,77.0,77.5,69.8,69.5,70.1,38.9,38.6,39.2,41.8,41.5,42.1,14.199999999999989,-7.5,2.8999999999999986
Andhra Pradesh,Kurnool,63.1,62.8,63.4,74.1,73.9,74.4,67.5,67.2,67.8,50.4,50.1,50.8,24.0,23.7,24.2,26.4,26.1,26.7,10.999999999999993,-17.1,2.3999999999999986
Andhra Pradesh,Prakasam,68.1,67.8,68.4,80.8,80.5,81.0,73.0,72.7,73.4,64.7,64.4,65.0,33.1,32.8,33.4,33.6,33.3,34.0,12.700000000000003,-8.299999999999997,0.5
Andhra Pradesh,SPR Nellore,65.7,65.4,66.1,80.8,80.6,81.1,67.9,67.6,68.2,57.0,56.7,57.4,27.2,26.8,27.5,20.9,20.6,21.2,15.099999999999994,-10.900000000000006,-6.300000000000001
Andhra Pradesh,Srikakulam,64.7,64.3,65.0,80.7,80.4,81.0,67.8,67.4,68.2,61.8,61.5,62.2,32.6,32.2,33.0,32.9,32.6,33.3,16.0,-6.0,0.29999999999999716
Andhra Pradesh,Visakhapatanam,67.5,67.2,67.8,85.9,85.7,86.1,76.8,76.5,77.0,66.9,66.6,67.2,32.7,32.4,33.0,31.8,31.5,32.1,18.400000000000006,-9.899999999999991,-0.9000000000000021
Andhra Pradesh,Vizianagaram,62.5,62.1,62.9,81.8,81.5,82.2,67.1,66.8,67.5,59.8,59.4,60.2,32.6,32.2,32.9,29.9,29.6,30.3,19.299999999999997,-7.299999999999997,-2.700000000000003
Andhra Pradesh,West Godavari,70.3,70.0,70.6,87.5,87.3,87.7,72.9,72.6,73.2,69.2,68.9,69.5,33.0,32.7,33.3,35.9,35.6,36.2,17.200000000000003,-3.700000000000003,2.8999999999999986
Andhra Pradesh,Y.S.R.,69.3,69.0,69.7,81.5,81.2,81.8,66.9,66.6,67.3,55.8,55.4,56.2,22.5,22.2,22.8,21.4,21.1,21.7,12.200000000000003,-11.100000000000009,-1.1000000000000014
Arunachal Pradesh,Anjaw,50.2,45.1,55.2,76.8,72.6,81.1,14.0,10.5,17.5,23.9,19.6,28.2,4.7,2.6,6.8,6.8,4.3,9.3,26.599999999999994,9.899999999999999,2.0999999999999996
Arunachal Pradesh,Changlang,49.6,47.7,51.4,75.1,73.6,76.7,22.3,20.8,23.8,28.8,27.1,30.4,3.2,2.5,3.8,8.6,7.5,9.6,25.499999999999993,6.5,5.3999999999999995
Arunachal Pradesh,Dibang Valley,57.2,49.3,65.1,80.4,74.0,86.7,22.2,15.6,28.9,30.0,22.7,37.3,4.6,1.3,8.0,11.8,6.6,16.9,23.200000000000003,7.800000000000001,7.200000000000001
Arunachal Pradesh,East Kameng,55.6,53.0,58.1,74.2,71.9,76.4,14.1,12.3,15.9,22.1,20.0,24.2,3.2,2.3,4.1,4.5,3.4,5.5,18.6,8.000000000000002,1.2999999999999998
Arunachal Pradesh,East Siang,68.9,67.0,70.9,82.7,81.1,84.3,19.8,18.1,21.5,29.5,27.6,31.4,3.2,2.5,4.0,7.8,6.7,9.0,13.799999999999997,9.7,4.6
