state,district,worked_12m,worked_12m_lb,worked_12m_ub,self_employed,self_employed_lb,self_employed_ub,earned_cash,earned_cash_lb,earned_cash_ub
Andaman & Nicobar Islands,Nicobars,28.6,25.4,31.8,6.4,4.7,8.1,26.1,23.0,29.2
Andaman & Nicobar Islands,North & Middle Andaman,15.6,14.1,17.0,4.3,3.5,5.1,14.2,12.8,15.6
Andaman & Nicobar Islands,South Andaman,15.3,14.3,16.2,5.4,4.8,6.0,15.4,14.4,16.4
Andhra Pradesh,Anantapur,56.7,56.3,57.0,3.1,3.0,3.2,51.4,51.0,51.7
Andhra Pradesh,Chittoor,45.1,44.8,45.4,0.9,0.8,0.9,37.8,37.5,38.1
Andhra Pradesh,East Godavari,42.5,42.3,42.8,2.1,2.0,2.1,39.0,38.7,39.3
Andhra Pradesh,Guntur,48.2,47.9,48.5,2.5,2.4,2.6,40.6,40.3,40.8
Andhra Pradesh,Krishna,47.3,47.0,47.6,2.1,2.0,2.1,41.8,41.6,42.1
Andhra Pradesh,Kurnool,48.1,47.7,48.4,2.0,1.9,2.1,40.4,40.1,40.7
Andhra Pradesh,Prakasam,54.0,53.6,54.3,3.3,3.2,3.4,47.2,46.9,47.6
Andhra Pradesh,Sri Potti Sriramulu Nellore,47.2,46.8,47.5,2.1,2.0,2.2,41.9,41.5,42.2
Andhra Pradesh,Srikakulam,51.9,51.5,52.3,3.1,3.0,3.2,45.5,45.2,45.9
Andhra Pradesh,Visakhapatnam,47.2,46.9,47.5,2.6,2.5,2.7,46.9,46.6,47.3
Andhra Pradesh,Vizianagaram,43.0,42.6,43.4,1.8,1.7,1.9,36.3,35.9,36.7
Andhra Pradesh,West Godavari,43.9,43.6,44.2,2.9,2.8,3.0,38.9,38.6,39.2
Andhra Pradesh,Y.S.R.,43.8,43.4,44.1,1.6,1.5,1.7,37.4,37.1,37.8
Arunachal Pradesh,Anjaw,49.3,44.3,54.3,10.4,7.3,13.5,25.3,20.9,29.7
Arunachal Pradesh,Changlang,25.8,24.2,27.4,6.3,5.4,7.2,15.2,13.9,16.5
Arunachal Pradesh,Dibang Valley,49.7,41.7,57.7,9.9,5.1,14.6,33.0,25.5,40.5
Arunachal Pradesh,East Kameng,43.4,40.9,45.9,10.5,9.0,12.1,25.4,23.2,27.7
Arunachal Pradesh,East Siang,37.6,35.6,39.7,6.4,5.3,7.4,24.5,22.7,26.3
Arunachal Pradesh,Kurung Kumey,40.1,37.8,42.4,7.5,6.3,8.7,21.2,19.3,23.1
Arunachal Pradesh,Lohit,36.7,34.9,38.5,8.1,7.1,9.1,20.1,18.6,21.5
Arunachal Pradesh,Lower Dibang Valley,42.5,39.5,45.4,10.4,8.6,12.3,23.9,21.4,26.5
Arunachal Pradesh,Lower Subansiri,47.9,45.6,50.2,9.5,8.2,10.9,30.4,28.3,32.6
Arunachal Pradesh,Papum Pare,38.2,36.6,39.8,7.2,6.3,8.0,27.3,25.8,28.7
Arunachal Pradesh,Tawang,39.9,36.6,43.1,6.6,5.0,8.3,21.0,18.4,23.7
Arunachal Pradesh,Tirap,39.8,37.7,41.9,8.7,7.5,9.9,22.8,21.0,24.6
Arunachal Pradesh,Upper Siang,45.8,42.0,49.5,11.1,8.8,13.5,33.0,29.5,36.5
Arunachal Pradesh,Upper Subansiri,45.3,43.0,47.7,10.6,9.1,12.0,25.0,23.0,27.1
Arunachal Pradesh,West Kameng,38.4,36.0,40.8,6.9,5.7,8.2,24.7,22.6,26.9
Arunachal Pradesh,West Siang,46.2,44.2,48.3,9.8,8.5,11.0,26.4,24.6,28.2
Assam,Baksa,16.3,15.8,16.8,2.4,2.2,2.6,15.4,14.9,15.9
Assam,Barpeta,14.8,14.4,15.2,1.5,1.3,1.6,9.7,9.4,10.0
Assam,Bongaigaon,13.2,12.7,13.8,2.8,2.6,3.1,13.2,12.6,13.7
Assam,Cachar,22.0,21.6,22.4,4.3,4.1,4.5,19.2,18.8,19.6
Assam,Chirang,15.8,15.1,16.5,2.3,2.0,2.6,15.4,14.6,16.1
Assam,Darrang,21.5,20.9,22.1,3.8,3.6,4.1,18.1,17.5,18.6
Assam,Dhemaji,25.8,25.1,26.5,2.0,1.8,2.2,15.7,15.1,16.3
Assam,Dhubri,18.4,18.0,18.8,3.2,3.0,3.3,16.7,16.4,17.1
Assam,Dibrugarh,19.2,18.8,19.7,4.3,4.1,4.5,19.3,18.9,19.8
Assam,Dima Hasao,28.2,26.9,29.6,4.8,4.2,5.4,23.7,22.4,24.9
Assam,Goalpara,20.2,19.6,20.7,3.8,3.6,4.1,18.9,18.3,19.4
Assam,Golaghat,21.4,20.9,21.9,4.7,4.4,5.0,19.1,18.6,19.6
Assam,Hailakandi,23.6,22.9,24.3,2.3,2.0,2.5,24.8,24.1,25.6
Assam,Jorhat,26.5,26.0,27.0,5.6,5.3,5.9,22.2,21.7,22.7
Assam,Kamrup,14.9,14.5,15.3,3.1,2.9,3.3,14.4,14.0,14.8
Assam,Kamrup Metropolitan,22.5,22.0,23.0,6.2,5.9,6.5,23.9,23.5,24.4
Assam,Karbi Anglong,30.5,29.9,31.2,5.1,4.8,5.5,26.2,25.5,26.8
Assam,Karimganj,22.6,22.1,23.1,2.1,1.9,2.3,23.5,23.0,24.0
Assam,Kokrajhar,13.9,13.4,14.4,2.1,1.9,2.3,13.7,13.2,14.2
