district_raw,beneficiaries,state,district_norm,population_total_2011,branch_density_2013,deposits_per_capita,enrollment_rate,pmmvy_std
Baksa,25592,Assam,BAKSA,950075.0,2.947135752440597,4596.479225324317,26.936820777307055,0.2660403710596758
Barpeta,66814,Assam,BARPETA,1693622.0,4.074108626364088,10104.379843908499,39.4503614147667,1.8523945958077317
Biswanath,8923,Assam,BISWANATH,,,,,
Bongaigaon,14373,Assam,BONGAIGAON,738804.0,5.143448059295835,15954.163756557897,19.45441551480501,-0.6825117248926706
Cachar,64915,Assam,CACHAR,1736617.0,5.988654953855686,24829.884770217035,37.38014772399441,1.5899515087843152
Charaideo,5658,Assam,CHARAIDEO,,,,,
Chirang,12506,Assam,CHIRANG,482162.0,3.5257859391656745,15245.913199298162,25.93734056188584,0.13933525152386567
Darrang,31097,Assam,DARRANG,928500.0,4.092622509423801,9039.31071620894,33.49165320409262,1.097003118854594
Dhemaji,25746,Assam,DHEMAJI,686133.0,3.06063110213326,7094.83438342129,37.523337312153764,1.6081037979483064
Dhubri,36698,Assam,DHUBRI,1949258.0,2.82158647033897,7107.832826644805,18.82665096154537,-0.7620940733312398
Dibrugarh,33560,Assam,DIBRUGARH,1326335.0,8.89669653594303,46643.57044034878,25.302808114088826,0.058894930237877875
Dima Hasao,1817,Assam,DIMA HASAO,,,,,
Goalpara,26117,Assam,GOALPARA,1008183.0,4.364287039158565,9384.209017608906,25.90501922766006,0.13523784323759103
Golaghat,28113,Assam,GOLAGHAT,1066888.0,5.811294156462534,14003.344306056493,26.350469777521162,0.19170806075325977
Hailakandi,17810,Assam,HAILAKANDI,659296.0,4.246954327039751,11368.186671843907,27.013663058777848,0.2757817449347534
Hojai,7503,Assam,HOJAI,,,,,
Jorhat,21107,Assam,JORHAT,1092256.0,7.873612046992646,30446.159142179124,19.324224357659745,-0.6990161897876005
Kamrup,39891,Assam,KAMRUP,1517542.0,5.469370864200134,13908.67600369545,26.286587125759947,0.18360959226655932
Kamrup Metro,16700,Assam,KAMRUP METRO,1253938.0,21.452416307664333,248697.30401343608,13.318042837843658,-1.4604259062384195
Karbi Anglong,10303,Assam,KARBI ANGLONG,956313.0,5.751255080711022,10743.34449076819,10.773669290284666,-1.7829787187033979
Karimganj,17638,Assam,KARIMGANJ,1228686.0,4.394938983597111,14766.181107296738,14.355172924571454,-1.3289478743719758
Kokrajhar,22577,Assam,KOKRAJHAR,887142.0,3.6070888313257625,13783.588196703571,25.449138920263046,0.07744543479214984
Lakhimpur,34374,Assam,LAKHIMPUR,1042137.0,5.373573723992143,10449.681759691864,32.98414699794749,1.0326660429198946
Majuli,6974,Assam,MAJULI,,,,,
Marigaon,27891,Assam,MARIGAON,,,,,
Nagaon,77477,Assam,NAGAON,2823768.0,4.178813556921107,12606.9138824436,27.437452368608188,0.32950594510556147
Nalbari,22748,Assam,NALBARI,771639.0,6.73890251788725,14690.807488994205,29.480106630172916,0.5884552953664042
Sivasagar,22206,Assam,SIVASAGAR,,,,,
Sonitpur,27886,Assam,SONITPUR,1924110.0,5.405096382223469,14849.982589353,14.49293439564266,-1.3114837131107646
South Salmara Mancachar,27148,Assam,SOUTH SALMARA MANCACHAR,,,,,
Tinsukia,22749,Assam,TINSUKIA,1327929.0,7.153996938089311,26104.55830093326,17.131186983641445,-0.9770297595753569
Udalguri,17891,Assam,UDALGURI,831668.0,3.4869683575657593,6702.193663817773,21.512189960416897,-0.4216455735811024
West Karbi Anglong,4900,Assam,WEST KARBI ANGLONG,,,,,
