district_raw,beneficiaries,state,district_norm,population_total_2011,branch_density_2013,deposits_per_capita,enrollment_rate,pmmvy_std
Bilaspur,14325,Himachal Pradesh,BILASPUR,381956.0,18.326718260742076,53817.71722397344,37.50431986930432,0.4790235891177193
Chamba,19483,Himachal Pradesh,CHAMBA,519080.0,14.255991369345764,34154.6582415042,37.53371349310318,0.48307100250932394
Hamirpur,17039,Himachal Pradesh,HAMIRPUR,454768.0,19.350525982478977,77371.31900221652,37.467455933574925,0.47394753629213393
Kangra,58732,Himachal Pradesh,KANGRA,1510075.0,16.35680347002632,66591.39446716223,38.893432445408344,0.6703002034420771
Kinnaur,2061,Himachal Pradesh,KINNAUR,84121.0,32.096622722031356,62017.8076817917,24.500422011150604,-1.3115739463991876
Kullu,14516,Himachal Pradesh,KULLU,,,,,
Lahul And Spiti,544,Himachal Pradesh,LAHUL AND SPITI,31564.0,41.18616144975288,73279.68571790648,17.2348244835889,-2.312024824191367
Mandi,37123,Himachal Pradesh,MANDI,999777.0,16.203613405789493,50025.15560970096,37.13128027550144,0.42765716155885963
Shimla,23780,Himachal Pradesh,SHIMLA,,,,,
Sirmaur,18867,Himachal Pradesh,SIRMAUR,529855.0,15.475932094629664,32478.697002009983,35.607854979192425,0.2178860905407478
Solan,20293,Himachal Pradesh,SOLAN,580320.0,28.43258891645989,85644.12737799835,34.968637992831546,0.12986783840408883
Una,20541,Himachal Pradesh,UNA,521173.0,18.419987221133866,63420.39975209767,39.413016407219864,0.7418453487256091
