district_raw,beneficiaries,state,district_norm,population_total_2011,branch_density_2013,deposits_per_capita,enrollment_rate,pmmvy_std
Agar Malwa,25577,Madhya Pradesh,AGAR MALWA,,,,,
Alirajpur,39339,Madhya Pradesh,ALIRAJPUR,728999.0,3.292185585988458,7340.2021127601,53.963036986333314,1.4858060155313944
Anuppur,28048,Madhya Pradesh,ANUPPUR,749237.0,6.006110216126539,21900.94723031564,37.43541763153715,-1.683082093175174
Ashoknagar,41677,Madhya Pradesh,ASHOKNAGAR,845071.0,6.389995633502983,12355.174890630491,49.317749632871084,0.5951516786961417
Balaghat,75588,Madhya Pradesh,BALAGHAT,1701698.0,5.7001888701755545,12307.706772882144,44.419162507095855,-0.34406855375842266
Barwani,69536,Madhya Pradesh,BARWANI,1385881.0,5.700345123426903,9525.34885751374,50.17458208893837,0.7594346357814006
Betul,72350,Madhya Pradesh,BETUL,1575362.0,6.411224848637964,18180.583256419795,45.92595225732245,-0.05516741081018677
Bhind,69690,Madhya Pradesh,BHIND,1703005.0,4.345260289899326,10453.874181226714,40.92178237879513,-1.0146313288493611
Bhopal,102086,Madhya Pradesh,BHOPAL,2371061.0,16.659208683370018,248454.17304742476,43.05498677596233,-0.605625899663818
Burhanpur,34417,Madhya Pradesh,BURHANPUR,757847.0,5.937874003591754,18324.279175084153,45.41417990702608,-0.1532909989934031
Chhatarpur,87183,Madhya Pradesh,CHHATARPUR,1762375.0,5.106745159231151,16095.325909638981,49.46904035747216,0.6241590855013344
Chhindwara,99488,Madhya Pradesh,CHHINDWARA,2090922.0,7.030391377583669,20241.309814522014,47.58092363081933,0.2621450219814209
Damoh,59777,Madhya Pradesh,DAMOH,1264219.0,5.457915123882808,12362.573256690494,47.283738023238065,0.2051647686414435
Datia,36861,Madhya Pradesh,DATIA,786754.0,6.482331198824538,13546.80116021018,46.85200202350417,0.12238678069968549
Dewas,72420,Madhya Pradesh,DEWAS,1563715.0,7.290331038584397,16176.221370262483,46.31278717669141,0.019001563541526455
Dhar,110880,Madhya Pradesh,DHAR,2185793.0,7.823247672583817,14715.48312214377,50.72758490854349,0.8654634607143352
Dindori,34544,Madhya Pradesh,DINDORI,704524.0,4.542073797344022,9149.439905524865,49.03168664232872,0.5403039967879986
East Nimar,59893,Madhya Pradesh,EAST NIMAR,,,,,
Guna,63664,Madhya Pradesh,GUNA,1241519.0,6.363172855187879,14980.842016916375,51.279118563630526,0.9712105984985553
Gwalior,82480,Madhya Pradesh,GWALIOR,2032036.0,9.94076876590769,54570.39146944247,40.589832069904276,-1.078277118599501
Harda,24491,Madhya Pradesh,HARDA,570465.0,9.290666386193719,20241.382030448844,42.931643483824594,-0.629274864669208
Hoshangabad,54159,Madhya Pradesh,NARMADAPURAM,1241350.0,11.116929149716034,25268.45772747412,43.62911346517904,-0.49554693430926117
Indore,165653,Madhya Pradesh,INDORE,3276697.0,14.099564286841293,93428.84007889652,50.55487278805455,0.8323488679167905
Jabalpur,110002,Madhya Pradesh,JABALPUR,2463289.0,10.189628581948767,56523.2094163535,44.65655471201308,-0.29855266189807833
Jhabua,66337,Madhya Pradesh,JHABUA,1025048.0,4.390038320156715,9664.913252842794,64.71599378760799,3.5475014242598446
Katni,57726,Madhya Pradesh,KATNI,1292042.0,6.501336643855231,21298.069257810504,44.678114178950835,-0.2944190031452665
Khargone,90091,Madhya Pradesh,KHARGONE,,,,,
Mandla,44434,Madhya Pradesh,MANDLA,1054905.0,5.498125423616345,14179.475876974704,42.12132846085667,-0.7846389001946391
Mandsaur,61853,Madhya Pradesh,MANDSAUR,1340411.0,6.192130622622464,14450.04554573187,46.14480185555028,-0.013206746389504762
Morena,88996,Madhya Pradesh,MORENA,1965970.0,4.221834514260136,10059.665203436472,45.268239088083746,-0.18127265296264589
Narsinghpur,44762,Madhya Pradesh,NARSINGHPUR,,,,,
Neemuch,34931,Madhya Pradesh,NEEMUCH,826067.0,7.989666697737593,18602.607294565696,42.28591627555634,-0.7530820039687808
Niwari,19142,Madhya Pradesh,NIWARI,,,,,
Panna,48252,Madhya Pradesh,PANNA,1016520.0,4.820367528430331,12169.952386573801,47.467831424861295,0.24046152728357098
Raisen,60909,Madhya Pradesh,RAISEN,1331597.0,8.260757571547547,13134.604538760601,45.74131662958087,-0.09056813202924553
Rajgarh,80010,Madhya Pradesh,RAJGARH,1545814.0,6.016247750376178,9394.403207630414,51.75913790404279,1.0632460905514487
Ratlam,71913,Madhya Pradesh,RATLAM,1455069.0,7.559778952063442,20524.112602220237,49.42239852543075,0.6152163125737004
Rewa,100256,Madhya Pradesh,REWA,2365106.0,6.173084842708953,22966.835313089563,42.38964342401567,-0.7331940987450064
Sagar,107377,Madhya Pradesh,SAGAR,2378458.0,6.937267759195244,26257.348248318867,45.145636374491374,-0.20477962470841518
Satna,94168,Madhya Pradesh,SATNA,2228935.0,6.729671345283734,21045.476875727647,42.24797941617857,-0.7603557473908175
Sehore,67893,Madhya Pradesh,SEHORE,1311332.0,8.007125579182082,13168.289952506306,51.77407399499135,1.066109830330385
Seoni,64982,Madhya Pradesh,SEONI,1379131.0,5.0756599626866485,12175.783156204885,47.118076527900534,0.17340201253142265
Shahdol,49322,Madhya Pradesh,SHAHDOL,1066063.0,5.440579027693485,19206.18199862485,46.26555841446519,0.00994625679741491
Shajapur,44565,Madhya Pradesh,SHAJAPUR,1512681.0,4.429222023678489,7364.407961757965,29.46093723660177,-3.212052210053573
Sheopur,33545,Madhya Pradesh,SHEOPUR,687861.0,3.925211634327284,8729.961431161237,48.76712010129953,0.48957789112017064
