district_raw,beneficiaries,state,district_norm,population_total_2011,branch_density_2013,deposits_per_capita,enrollment_rate,pmmvy_std
24 Paraganas North,70383,West Bengal,NORTH TWENTY FOUR PARGANAS,,,,,
24 Paraganas South,113094,West Bengal,SOUTH TWENTY FOUR PARGANAS,,,,,
Alipurduar,35421,West Bengal,ALIPURDUAR,,,,,
Bankura,67564,West Bengal,BANKURA,3596674.0,6.00554845949341,19493.565444074164,18.785133153574662,0.6878458578257505
Birbhum,52476,West Bengal,BIRBHUM,3502404.0,6.681125307074797,20517.621610756498,14.982851778378508,0.07228612896996808
Coochbehar,48112,West Bengal,KOCH BIHAR,2819086.0,5.24992852293261,12089.734048553326,17.06652439833336,0.4096164910338376
Darjeeling,8301,West Bengal,DARJILING,1846823.0,9.692320271081744,72516.96562150244,4.494745841913383,-1.625656503202575
Dinajpur Dakshin,35901,West Bengal,DAKSHIN DINAJPUR,1676276.0,5.190076097253674,11509.441166013234,21.417117467529213,1.1139436109324508
Dinajpur Uttar,43908,West Bengal,UTTAR DINAJPUR,3007134.0,3.6912222734337745,9243.020098206465,14.60127816053425,0.010512333303250838
Hooghly,66291,West Bengal,HUGLI,5519145.0,6.649580686863635,37863.65460592175,12.011099545310008,-0.408817402911557
Howrah,51789,West Bengal,HAORA,4850029.0,6.9896489278723895,40492.9537534724,10.678080481580626,-0.6246228030015271
Jalpaiguri,37704,West Bengal,JALPAIGURI,3872846.0,5.13834012506565,17084.593603773556,9.735476184697248,-0.7772230942879378
Jhargram,13634,West Bengal,JHARGRAM,,,,,
Kalimpong,1086,West Bengal,KALIMPONG,,,,,
Kolkata,1307,West Bengal,KOLKATA,4496694.0,30.35563460622404,474987.4018556744,0.29065798117461406,-2.3062655713593836
Maldah,84164,West Bengal,MALDAH,3988845.0,4.587794211106223,12488.828219697682,21.099842184893124,1.062579214750162
Medinipur East,108036,West Bengal,PURBA MEDINIPUR,5095875.0,5.200284543871269,19870.385360708417,21.200677018176464,1.078903588595827
Medinipur West,115385,West Bengal,PASCHIM MEDINIPUR,5913457.0,6.020167221981998,22428.335912478946,19.512275137876202,0.8055644794975146
Murshidabad,157914,West Bengal,MURSHIDABAD,7103807.0,4.617242557406191,12835.93430958921,22.22948906128784,1.2454602423017962
Nadia,81013,West Bengal,NADIA,5167600.0,5.457078721263255,22644.941558944192,15.677103490982274,0.18468007192112332
Paschim Bardhaman,13508,West Bengal,PASCHIM BARDHAMAN,,,,,
Purba Bardhaman,82496,West Bengal,PURBA BARDHAMAN,,,,,
Purulia,31926,West Bengal,PURULIYA,2930115.0,4.812097818686297,17073.05003387239,10.895818082225441,-0.5893727819775789
Barddhaman (combined),96004,West Bengal,BARDDHAMAN,7717563.0,7.631942881451049,47122.5178207162,12.439678173019127,-0.33943386239112444
