level,harmonized_variable,available_in_nfhs4,available_in_nfhs5,available_in_both
household,bank_account,1,1,1
household,cluster_number,1,1,1
household,district_code,1,1,1
household,drinking_water_source,1,1,1
household,electricity,1,1,1
household,hhid,1,1,1
household,household_internet,1,1,1
household,household_number,1,1,1
household,household_weight,1,1,1
household,interview_month,1,1,1
household,interview_year,1,1,1
household,landline_telephone,1,1,1
household,minutes_to_water_source,1,1,1
household,mobile_telephone,1,1,1
household,state_code,1,1,1
household,state_household_weight,1,1,1
household,toilet_facility,1,1,1
household,toilet_shared,1,1,1
household,urban_rural,1,1,1
household,wealth_factor_score,1,1,1
household,wealth_factor_score_urban_rural,0,1,0
household,wealth_index,1,1,1
household,wealth_index_urban_rural,0,1,0
household,wealth_within_state,1,1,1
household,wealth_within_state_rural,1,1,1
household,wealth_within_state_urban,1,1,1
individual,age,1,1,1
individual,bank_account_any,0,1,0
individual,bank_account_self_use,1,1,1
individual,caseid,1,1,1
individual,cluster_number,1,1,1
individual,currently_working,1,1,1
individual,days_to_jsy_assistance_recent_birth,1,1,1
individual,decision_daily_purchases,1,1,1
individual,decision_health_care,1,1,1
individual,decision_husband_earnings,1,1,1
individual,decision_large_purchases,1,1,1
individual,decision_spend_earnings,1,1,1
individual,decision_visits_relatives,1,1,1
individual,delivery_financial_assistance_recent_birth,1,1,1
individual,district_code,1,1,1
individual,domestic_violence_weight,1,1,1
individual,earnings_type,1,1,1
individual,education_level,1,1,1
individual,health_insurance,1,1,1
individual,household_number,1,1,1
individual,internet_ever_used_self_report,0,1,0
individual,internet_use_any,0,1,0
individual,internet_use_frequency,0,1,0
individual,interview_month,1,1,1
individual,interview_year,1,1,1
individual,loan_program_knowledge,1,1,1
individual,loan_program_taken,1,1,1
individual,mobile_fin_transactions_any,0,1,0
individual,mobile_fin_transactions_self_use,0,1,0
individual,mobile_phone_ownership_any,0,1,0
individual,mobile_phone_self_use,1,1,1
individual,occupation_code,1,1,1
individual,occupation_grouped,1,1,1
individual,own_money_autonomy,1,1,1
individual,relative_earnings_vs_husband,1,1,1
individual,religion,1,1,1
individual,respondent_line,1,1,1
individual,selected_state_module,1,1,1
individual,state_code,1,1,1
individual,state_module_weight,1,1,1
individual,urban_rural,1,1,1
individual,wealth_index,1,1,1
individual,wealth_index_urban_rural,0,1,0
individual,wealth_within_state,1,1,1
individual,wealth_within_state_rural,1,1,1
individual,wealth_within_state_urban,1,1,1
individual,woman_weight,1,1,1
individual,work_for_whom,1,1,1
individual,work_location,1,1,1
individual,worked_last_12_months,1,1,1
