rbi_state,rbi_district,census_state,census_district,population_2011,reporting_offices_dec2013,deposits_crore_dec2013,credit_crore_dec2013,deposits_crore_2015_16,accounts_thousands_2015_16,branch_density_2013,deposits_per_capita_2013_rs,credit_per_capita_2013_rs,deposits_per_capita_2015_16_rs,accounts_per_capita_2015_16
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,ANDAMAN AND NICOBAR ISLANDS,NICOBARS,36842,3.0,116.6,11.0,121.1095,33.588,8.142880408229738,31648.66185331958,2985.722816350904,32872.67249334998,0.9116768905054015
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,105597,8.0,274.6,78.2,345.1364,99.016,7.575972802257641,26004.52664374935,7405.513414206843,32684.29974336392,0.9376781537354281
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,238142,45.0,2197.6,868.9,2765.9053000000004,423.137,18.89628876888579,92281.07599667425,36486.634025077474,116145.21168042599,1.7768264312888948
ANDHRA PRADESH,ADILABAD,ANDHRA PRADESH,ADILABAD,2741239,221.0,5162.3,5365.1,,,8.062047855002794,18831.995313068288,19571.806763292072,,
ANDHRA PRADESH,ANANTAPUR,ANDHRA PRADESH,ANANTAPUR,4081148,359.0,10018.7,9569.3,14110.497100000002,7237.916,8.79654450169413,24548.72991619025,23447.569164362576,34574.82330951978,1.77350000539064
ANDHRA PRADESH,CHITTOOR,ANDHRA PRADESH,CHITTOOR,4174064,435.0,19725.4,12740.9,27167.511899999998,6593.924999999999,10.421498089152442,47257.061702935076,30523.96896645571,65086.47663284511,1.5797373974141267
ANDHRA PRADESH,EAST GODAVARI,ANDHRA PRADESH,EAST GODAVARI,5154296,558.0,14125.3,17739.0,20713.0577,9272.753999999999,10.82592074649962,27404.906509055745,34415.95127637217,40186.00736162611,1.799034048490812
ANDHRA PRADESH,GUNTUR,ANDHRA PRADESH,GUNTUR,4887813,581.0,13053.7,23637.5,20104.6495,8256.925,11.8867067950431,26706.627278907767,48360.07433181261,41132.198592703935,1.6892882358633603
ANDHRA PRADESH,HYDERABAD,ANDHRA PRADESH,HYDERABAD,3943323,1016.0,179750.7,221762.4,,,25.765071742791548,455835.5985548229,562374.4238044918,,
ANDHRA PRADESH,KARIMNAGAR,ANDHRA PRADESH,KARIMNAGAR,3776269,330.0,8957.9,6957.6,,,8.738784233856222,23721.56220862444,18424.534904690317,,
ANDHRA PRADESH,KHAMMAM,ANDHRA PRADESH,KHAMMAM,2797370,253.0,6295.5,6231.1,,,9.044209382384167,22505.06725960456,22274.851020780232,,
ANDHRA PRADESH,KRISHNA,ANDHRA PRADESH,KRISHNA,4517398,606.0,19037.7,21090.9,25905.106699999997,8482.891,13.414802060832365,42143.065543483215,46688.159865480084,57345.19451241621,1.8778267932114903
ANDHRA PRADESH,KURNOOL,ANDHRA PRADESH,KURNOOL,4053463,354.0,7566.5,9083.1,11511.858699999997,6511.645999999999,8.733273253018469,18666.75482174131,22408.246973020352,28400.05866588642,1.606440221608042
ANDHRA PRADESH,MAHBUBNAGAR,ANDHRA PRADESH,MAHBUBNAGAR,4053028,291.0,4803.9,6260.4,,,7.179817163858725,11852.619819058738,15446.229337670502,,
ANDHRA PRADESH,MEDAK,ANDHRA PRADESH,MEDAK,3033288,273.0,6877.2,8224.2,,,9.000134507504727,22672.42675275147,27113.152460300505,,
ANDHRA PRADESH,NALGONDA,ANDHRA PRADESH,NALGONDA,3488809,293.0,4524.9,7548.4,,,8.398281476572665,12969.755581345955,21636.036825174437,,
ANDHRA PRADESH,NIZAMABAD,ANDHRA PRADESH,NIZAMABAD,2551335,265.0,4885.9,5641.2,,,10.38671910979938,19150.366376818412,22110.777298943492,,
ANDHRA PRADESH,PRAKASAM,ANDHRA PRADESH,PRAKASAM,3397448,357.0,6122.9,12270.4,9202.5306,5153.072999999999,10.507887096432382,18022.056555390987,36116.52040001789,27086.597351894718,1.516748159206557
ANDHRA PRADESH,RANGAREDDI,ANDHRA PRADESH,RANGAREDDY,5296741,690.0,39885.3,18494.5,,,13.026878225686325,75301.58639057488,34916.75352825445,,
ANDHRA PRADESH,NELLORE,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,2963557,332.0,6758.9,10756.2,9810.266199999998,4443.6990000000005,11.20275398785986,22806.715038718674,36294.898326571754,33103.01168494481,1.4994477919608096
ANDHRA PRADESH,SRIKAKULAM,ANDHRA PRADESH,SRIKAKULAM,2703114,209.0,4154.4,4084.3,6758.930200000001,4858.904,7.731823371119383,15368.941154535103,15109.61061945593,25004.236595274935,1.7975209332643758
ANDHRA PRADESH,VISAKHAPATNAM,ANDHRA PRADESH,VISAKHAPATNAM,4290589,539.0,27608.7,22677.3,,,12.562377799411689,64347.10945280473,52853.58257339493,,
