snapshot_label,snapshot_year,snapshot_month,region_name_raw,region_name_clean,state_name_raw,state_name_clean,district_name_raw,district_name_clean,credit_million_rs_foreign_banks,credit_million_rs_nationalised_bank,credit_million_rs_nationalised_banks,credit_million_rs_new_private_banks,credit_million_rs_old_private_banks,credit_million_rs_regional_rural_banks,credit_million_rs_state_bank_of_india_and_its_associates,deposits_million_rs_foreign_banks,deposits_million_rs_nationalised_bank,deposits_million_rs_nationalised_banks,deposits_million_rs_new_private_banks,deposits_million_rs_old_private_banks,deposits_million_rs_regional_rural_banks,deposits_million_rs_state_bank_of_india_and_its_associates,offices_foreign_banks,offices_nationalised_bank,offices_nationalised_banks,offices_new_private_banks,offices_old_private_banks,offices_regional_rural_banks,offices_state_bank_of_india_and_its_associates
2013-09,2013,9,EASTERN REGION,EASTERN REGION,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,Nicobar,NICOBAR,0.0,0.0,38.0,0.0,0.0,0.0,65.0,0.0,0.0,444.0,0.0,0.0,0.0,692.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
2013-09,2013,9,EASTERN REGION,EASTERN REGION,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,North And Middle Andaman,NORTH AND MIDDLE ANDAMAN,0.0,0.0,58.0,0.0,0.0,0.0,724.0,0.0,0.0,167.0,71.0,0.0,0.0,2387.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0
2013-09,2013,9,EASTERN REGION,EASTERN REGION,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,South Andaman,SOUTH ANDAMAN,0.0,0.0,3320.0,78.0,29.0,0.0,5033.0,0.0,0.0,8677.0,1432.0,51.0,0.0,10840.0,0.0,0.0,23.0,4.0,1.0,0.0,15.0
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Adilabad,ADILABAD,0.0,0.0,10308.0,1685.0,1126.0,13308.0,23076.0,0.0,0.0,10314.0,1716.0,714.0,13144.0,24105.0,0.0,0.0,50.0,13.0,6.0,86.0,63.0
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Anantapur,ANANTAPUR,0.0,0.0,34226.0,3503.0,7661.0,18349.0,29665.0,0.0,0.0,34597.0,4042.0,9796.0,15640.0,35135.0,0.0,0.0,127.0,21.0,27.0,105.0,72.0
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Chittoor,CHITTOOR,0.0,0.0,59713.0,3827.0,5781.0,22315.0,32377.0,0.0,0.0,114822.0,4478.0,7081.0,17198.0,46714.0,0.0,0.0,187.0,19.0,31.0,100.0,82.0
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,East Godavari,EAST GODAVARI,0.0,0.0,88515.0,11556.0,8464.0,2620.0,59780.0,0.0,0.0,66771.0,8674.0,7541.0,2612.0,54832.0,1.0,0.0,289.0,32.0,36.0,30.0,150.0
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Guntur,GUNTUR,0.0,0.0,118206.0,7459.0,15177.0,12562.0,75621.0,0.0,0.0,62174.0,7942.0,8600.0,7544.0,42145.0,0.0,0.0,278.0,30.0,38.0,75.0,148.0
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Hyderabad,HYDERABAD,65104.0,0.0,1205369.0,271819.0,118086.0,568.0,517439.0,79973.0,0.0,824269.0,301299.0,76877.0,2311.0,477570.0,11.0,0.0,510.0,143.0,79.0,12.0,250.0
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Karimnagar,KARIMNAGAR,0.0,0.0,26286.0,3872.0,969.0,7430.0,26732.0,0.0,0.0,33230.0,3908.0,1785.0,8224.0,39303.0,0.0,0.0,114.0,39.0,12.0,69.0,92.0
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Khammam,KHAMMAM,0.0,0.0,20767.0,2750.0,1686.0,10191.0,25022.0,0.0,0.0,18733.0,2579.0,1438.0,6532.0,34475.0,0.0,0.0,65.0,12.0,10.0,75.0,87.0
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Krishna,KRISHNA,0.0,0.0,103789.0,22272.0,12427.0,7490.0,57807.0,0.0,0.0,91511.0,12864.0,13894.0,4325.0,59409.0,0.0,0.0,313.0,36.0,37.0,54.0,152.0
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Kurnool,KURNOOL,0.0,0.0,32916.0,5479.0,6269.0,11423.0,32533.0,11.0,0.0,28449.0,3710.0,5625.0,10695.0,25070.0,1.0,0.0,128.0,17.0,18.0,89.0,87.0
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Mahbubnagar,MAHBUBNAGAR,0.0,0.0,18801.0,1825.0,417.0,11245.0,27757.0,0.0,0.0,11834.0,1518.0,680.0,7276.0,25524.0,0.0,0.0,87.0,22.0,6.0,77.0,91.0
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Medak,MEDAK,0.0,0.0,33484.0,2755.0,279.0,11392.0,28903.0,1.0,0.0,14903.0,3940.0,1117.0,13994.0,34570.0,1.0,0.0,90.0,26.0,6.0,70.0,77.0
