snapshot_label,snapshot_year,snapshot_month,region_name_raw,region_name_clean,state_name_raw,state_name_clean,district_name_raw,district_name_clean,reporting_offices_total,deposits_total_million_rs,credit_total_million_rs,deposits_total_crore_rs,credit_total_crore_rs
2013-09,2013,9,EASTERN REGION,EASTERN REGION,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,Nicobar,NICOBAR,3.0,1136.0,103.0,113.6,10.3
2013-09,2013,9,EASTERN REGION,EASTERN REGION,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,North And Middle Andaman,NORTH AND MIDDLE ANDAMAN,8.0,2625.0,782.0,262.5,78.2
2013-09,2013,9,EASTERN REGION,EASTERN REGION,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,South Andaman,SOUTH ANDAMAN,43.0,21000.0,8460.0,2100.0,846.0
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Adilabad,ADILABAD,218.0,49993.0,49503.0,4999.3,4950.3
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Anantapur,ANANTAPUR,352.0,99210.0,93404.0,9921.0,9340.4
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Chittoor,CHITTOOR,419.0,190293.0,124013.0,19029.3,12401.3
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,East Godavari,EAST GODAVARI,538.0,140430.0,170935.0,14043.0,17093.5
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Guntur,GUNTUR,569.0,128405.0,229025.0,12840.5,22902.5
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Hyderabad,HYDERABAD,1005.0,1762299.0,2178385.0,176229.9,217838.5
2013-09,2013,9,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Karimnagar,KARIMNAGAR,326.0,86450.0,65289.0,8645.0,6528.9
