snapshot_label,snapshot_year,snapshot_month,region_name_raw,region_name_clean,state_name_raw,state_name_clean,district_name_raw,district_name_clean,reporting_offices_total,deposits_total_million_rs,credit_total_million_rs,deposits_total_crore_rs,credit_total_crore_rs
2013-12,2013,12,EASTERN REGION,EASTERN REGION,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,Nicobar,NICOBAR,3.0,1166.0,110.0,116.6,11.0
2013-12,2013,12,EASTERN REGION,EASTERN REGION,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,North And Middle Andaman,NORTH AND MIDDLE ANDAMAN,8.0,2746.0,782.0,274.6,78.2
2013-12,2013,12,EASTERN REGION,EASTERN REGION,ANDAMAN & NICOBAR ISLANDS,ANDAMAN AND NICOBAR ISLANDS,South Andaman,SOUTH ANDAMAN,45.0,21976.0,8689.0,2197.6,868.9
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Adilabad,ADILABAD,221.0,51623.0,53651.0,5162.3,5365.1
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Anantapur,ANANTAPUR,359.0,100187.0,95693.0,10018.7,9569.3
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Chittoor,CHITTOOR,435.0,197254.0,127409.0,19725.4,12740.9
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,East Godavari,EAST GODAVARI,558.0,141253.0,177390.0,14125.3,17739.0
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Guntur,GUNTUR,581.0,130537.0,236375.0,13053.7,23637.5
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Hyderabad,HYDERABAD,1016.0,1797507.0,2217624.0,179750.7,221762.4
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Karimnagar,KARIMNAGAR,330.0,89579.0,69576.0,8957.9,6957.6
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Khammam,KHAMMAM,253.0,62955.0,62311.0,6295.5,6231.1
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Krishna,KRISHNA,606.0,190377.0,210909.0,19037.7,21090.9
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Kurnool,KURNOOL,354.0,75665.0,90831.0,7566.5,9083.1
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Mahbubnagar,MAHBUBNAGAR,291.0,48039.0,62604.0,4803.9,6260.4
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Medak,MEDAK,273.0,68772.0,82242.0,6877.2,8224.2
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Nalgonda,NALGONDA,293.0,45249.0,75484.0,4524.9,7548.4
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Nellore,NELLORE,332.0,67589.0,107562.0,6758.9,10756.2
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Nizamabad,NIZAMABAD,265.0,48859.0,56412.0,4885.9,5641.2
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Prakasam,PRAKASAM,357.0,61229.0,122704.0,6122.9,12270.4
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Rangareddi,RANGAREDDI,690.0,398853.0,184945.0,39885.3,18494.5
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Srikakulam,SRIKAKULAM,209.0,41544.0,40843.0,4154.4,4084.3
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Visakhapatnam,VISAKHAPATNAM,539.0,276087.0,226773.0,27608.7,22677.3
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Vizianagaram,VIZIANAGARAM,205.0,37758.0,32362.0,3775.8,3236.2
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Warangal,WARANGAL,299.0,78111.0,82577.0,7811.1,8257.7
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,West Godavari,WEST GODAVARI,448.0,95967.0,155478.0,9596.7,15547.8
2013-12,2013,12,SOUTHERN REGION,SOUTHERN REGION,ANDHRA PRADESH,ANDHRA PRADESH,Y.S.R.,Y S R,285.0,61889.0,76686.0,6188.9,7668.6
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ARUNACHAL PRADESH,ARUNACHAL PRADESH,Anjaw,ANJAW,2.0,240.0,52.0,24.0,5.2
