nfhs_district_code,nfhs_district_name_guess,nfhs4_rows,nfhs5_rows
132,saharanpur,2487,1318
133,muzaffarnagar,1251,0
134,bijnor,1265,1348
135,moradabad,2487,0
136,rampur,1312,1092
137,amroha,1271,1411
138,meerut,3334,1212
139,baghpat,1239,1304
140,ghaziabad,2281,0
141,gautam buddha nagar,2194,863
142,bulandshahr,1259,1105
143,aligarh,2477,1073
144,hathras,1135,1234
145,mathura,1220,1175
146,agra,2448,1226
147,firozabad,2506,1178
148,mainpuri,1137,1258
149,etah,1113,0
150,kasganj,2506,1088
151,farrukhabad,1152,1040
152,kannauj,1064,1286
153,etawah,1046,1280
154,auraiya,985,1212
155,kanpur dehat,1000,1206
156,kanpur nagar,1097,1128
157,jalaun,1862,958
158,hamirpur,1123,0
159,mahoba,1159,1276
160,banda,1134,1317
161,chitrakoot,1145,1225
162,fatehpur,971,1309
163,prayagraj,965,1213
164,kaushambi,1901,1150
165,pratapgarh,894,1373
166,lucknow,1955,1326
167,unnao,900,1484
168,rae bareli,871,1389
169,sitapur,908,1347
170,hardoi,789,1189
171,kheri,1089,1176
172,barabanki,923,1206
173,ayodhya,1216,1267
174,ambedkar nagar,1026,1100
175,sultanpur,1162,1124
176,bahraich,987,1186
177,shravasti,1202,1213
178,balrampur,1407,1259
179,gonda,1151,0
180,siddharth nagar,1021,1128
181,basti,1055,1233
182,sant kabeer nagar,1260,1235
183,gorakhpur,1216,1292
184,maharajganj,1236,1396
185,kushi nagar,1243,1362
186,deoria,1349,1266
187,azamgarh,1346,1316
188,mau,1212,1360
189,ballia,1360,1312
190,jaunpur,1289,1317
191,ghazipur,1303,1354
192,chandauli,1359,1310
193,varanasi,1329,1254
194,bhadohi,1318,1561
195,mirzapur,1223,1363
196,sonbhadra,1328,1272
197,prayagraj,2442,1403
198,shahjahanpur,1317,1352
199,pilibhit,1113,1176
200,bareilly,1027,1158
201,budaun,1163,1267
202,sambhal,1146,1143
921,amethi,0,1255
922,hapur,0,1134
923,shamli,0,805
924,sambhal,0,1357
925,kasganj,0,1264
926,amroha,0,1201
927,amethi,0,1258
928,hapur,0,1314
929,shamli,0,1300
930,ambedkar nagar,0,1282
