district_name_raw,district_name_norm,beneficiaries_2017_2019,beneficiaries_2019_2020,beneficiaries_total
Agra,agra,16132,11430,27562
Aligarh,aligarh,15955,7554,23509
Allahabad,prayagraj,24026,13046,37072
Ambedkar Nagar,ambedkar nagar,22545,5701,28246
Auraiya,auraiya,8791,2944,11735
Azamgarh,azamgarh,29740,10903,40643
Baghpat,baghpat,7701,1733,9434
Bahraich,bahraich,27568,10025,37593
Ballia,ballia,20644,7551,28195
Balrampur,balrampur,15929,6167,22096
Banda,banda,14495,3389,17884
Barabanki,barabanki,19782,8090,27872
Bareilly,bareilly,30212,10141,40353
Basti,basti,15858,4110,19968
Bijnor,bijnor,14729,6681,21410
Budaun,budaun,19541,8070,27611
Bulandshahr,bulandshahr,23374,4997,28371
Chandauli,chandauli,12549,5827,18376
Chitrakoot,chitrakoot,6777,1662,8439
Deoria,deoria,21983,6893,28876
Etah,etah,10509,3050,13559
Etawah,etawah,11192,3162,14354
Faizabad,ayodhya,16582,5334,21916
Farrukhabad,farrukhabad,9185,2058,11243
Fatehpur,fatehpur,15735,4087,19822
Firozabad,firozabad,14055,4439,18494
Gautam Buddha Nagar,gautam buddha nagar,7756,3196,10952
Ghaziabad,ghaziabad,13965,6420,20385
Ghazipur,ghazipur,19556,9745,29301
Gonda,gonda,22534,6824,29358
Gorakhpur,gorakhpur,22203,9928,32131
Hamirpur,hamirpur,7323,1463,8786
Hardoi,hardoi,37408,10736,48144
Jalaun,jalaun,13496,3097,16593
Jaunpur,jaunpur,24833,7901,32734
Jhansi,jhansi,17294,4149,21443
Amroha,amroha,11476,3117,14593
Kannauj,kannauj,10382,2850,13232
Kanpur Dehat,kanpur dehat,10110,3474,13584
Kanpur Nagar,kanpur nagar,13281,6790,20071
Kaushambi,kaushambi,10376,6648,17024
Kheri,kheri,22674,9093,31767
Kushi Nagar,kushi nagar,19622,7040,26662
Lalitpur,lalitpur,12480,2482,14962
Lucknow,lucknow,22016,7780,29796
Hathras,hathras,12564,6103,18667
Maharajganj,maharajganj,27104,7444,34548
Mahoba,mahoba,7949,3375,11324
Mainpuri,mainpuri,11177,3944,15121
Mathura,mathura,16437,3781,20218
Mau,mau,20608,4533,25141
Meerut,meerut,16637,9679,26316
Mirzapur,mirzapur,12676,4433,17109
Moradabad,moradabad,15257,6124,21381
Muzaffarnagar,muzaffarnagar,17428,5350,22778
Pilibhit,pilibhit,14959,4350,19309
Pratapgarh,pratapgarh,24662,8441,33103
Rae Bareli,rae bareli,25958,10577,36535
Rampur,rampur,18168,7437,25605
Saharanpur,saharanpur,20009,9965,29974
Sant Kabeer Nagar,sant kabeer nagar,12438,4102,16540
Bhadohi,bhadohi,9901,2816,12717
Shahjahanpur,shahjahanpur,15207,5601,20808
Shravasti,shravasti,10443,2050,12493
Siddharth Nagar,siddharth nagar,11415,4584,15999
Sitapur,sitapur,43366,21905,65271
Sonbhadra,sonbhadra,13025,3517,16542
Sultanpur,sultanpur,24383,5748,30131
Unnao,unnao,27071,7352,34423
Varanasi,varanasi,24379,7415,31794
Kasganj,kasganj,8499,5155,13654
Amethi,amethi,15875,4529,20404
Sambhal,sambhal,11115,4762,15877
Shamli,shamli,8994,3022,12016
Hapur,hapur,8606,3245,11851
