State,No of PMJDY Accounts
Andaman & Nicobar Islands,"59,976"
Andhra Pradesh,"1,50,90,751"
Arunachal Pradesh,"4,57,945"
Assam,"2,42,95,424"
Bihar,"6,10,79,616"
Chandigarh,"3,30,283"
Chhattisgarh,"1,79,36,231"
Dadra & Nagar Haveli,0
Daman & Diu,0
Delhi,"65,01,581"
Goa,"2,08,757"
Gujarat,"1,88,75,673"
Haryana,"1,01,78,788"
Himachal Pradesh,"19,28,486"
Jammu & Kashmir,"25,18,886"
Jharkhand,"1,90,35,267"
Karnataka,"1,95,14,968"
Kerala,"64,48,040"
Ladakh,"19,794"
Lakshadweep,"9,542"
Madhya Pradesh,"4,41,12,337"
Maharashtra,"3,58,49,764"
Manipur,"11,03,217"
Meghalaya,"8,05,162"
Mizoram,"3,96,313"
Nagaland,"4,00,680"
Odisha,"2,22,18,563"
Puducherry,"2,27,343"
Punjab,"92,64,662"
Rajasthan,"3,60,08,179"
Sikkim,"92,398"
Tamil Nadu,"1,62,30,389"
Telangana,"1,21,39,255"
Tripura,"10,81,384"
Uttar Pradesh,"9,55,82,239"
Uttarakhand,"37,04,672"
West Bengal,"5,21,97,876"
Total,"53,61,40,188"
