State,No of PMJDY Accounts
Andaman & Nicobar Islands,"61,325"
Andhra Pradesh,"1,49,01,908"
Arunachal Pradesh,"4,51,879"
Assam,"2,34,44,828"
Bihar,"5,80,66,086"
Chandigarh,"3,25,119"
Chhattisgarh,"1,74,66,944"
Dadra & Nagar Haveli,0
Daman & Diu,0
Delhi,"62,39,460"
Goa,"2,07,284"
Gujarat,"1,84,99,271"
Haryana,"98,24,165"
Himachal Pradesh,"18,82,771"
Jammu & Kashmir,"27,52,834"
Jharkhand,"1,84,42,914"
Karnataka,"1,90,91,225"
Kerala,"61,93,485"
Ladakh,"22,130"
Lakshadweep,"10,351"
Madhya Pradesh,"4,32,56,660"
Maharashtra,"3,42,72,701"
Manipur,"10,75,383"
Meghalaya,"7,65,717"
Mizoram,"3,78,284"
Nagaland,"3,84,887"
Odisha,"2,12,18,243"
Puducherry,"2,17,392"
Punjab,"90,05,032"
Rajasthan,"3,50,41,156"
Sikkim,"89,994"
Tamil Nadu,"1,55,38,460"
Telangana,"1,17,47,549"
Tripura,"10,22,719"
Uttar Pradesh,"9,22,57,875"
Uttarakhand,"35,76,120"
West Bengal,"5,06,77,148"
Total,"51,86,40,727"
