Sl. No.,State,Name of the District,Total Beneficiary Enrolled since Inception of the Scheme and till 25.01.2022
1,Assam,Baksa,25592
2,Assam,Barpeta,66814
3,Assam,Biswanath,8923
4,Assam,Bongaigaon,14373
5,Assam,Cachar,64915
6,Assam,Charaideo,5658
7,Assam,Chirang,12506
8,Assam,Darrang,31097
9,Assam,Dhemaji,25746
10,Assam,Dhubri,36698
11,Assam,Dibrugarh,33560
12,Assam,Dima Hasao,1817
13,Assam,Goalpara,26117
14,Assam,Golaghat,28113
15,Assam,Hailakandi,17810
16,Assam,Hojai,7503
17,Assam,Jorhat,21107
18,Assam,Kamrup,39891
19,Assam,Kamrup Metro,16700
20,Assam,Karbi Anglong,10303
21,Assam,Karimganj,17638
22,Assam,Kokrajhar,22577
23,Assam,Lakhimpur,34374
24,Assam,Majuli,6974
25,Assam,Marigaon,27891
26,Assam,Nagaon,77477
27,Assam,Nalbari,22748
28,Assam,Sivasagar,22206
29,Assam,Sonitpur,27886
30,Assam,South Salmara Mancachar,27148
31,Assam,Tinsukia,22749
32,Assam,Udalguri,17891
33,Assam,West Karbi Anglong,4900
34,West Bengal,24 Paraganas North,70383
35,West Bengal,24 Paraganas South,113094
36,West Bengal,Alipurduar,35421
37,West Bengal,Bankura,67564
38,West Bengal,Birbhum,52476
39,West Bengal,Coochbehar,48112
40,West Bengal,Darjeeling,8301
41,West Bengal,Dinajpur Dakshin,35901
42,West Bengal,Dinajpur Uttar,43908
43,West Bengal,Hooghly,66291
44,West Bengal,Howrah,51789
45,West Bengal,Jalpaiguri,37704
46,West Bengal,Jhargram,13634
47,West Bengal,Kalimpong,1086
48,West Bengal,Kolkata,1307
49,West Bengal,Maldah,84164
50,West Bengal,Medinipur East,108036
51,West Bengal,Medinipur West,115385
52,West Bengal,Murshidabad,157914
53,West Bengal,Nadia,81013
54,West Bengal,Paschim Bardhaman,13508
55,West Bengal,Purba Bardhaman,82496
56,West Bengal,Purulia,31926
