Sl. No.,State/UT-wise,Number of Beneficiaries - OSC (as on 31-10-2024),Number of Beneficiaries - WHL (as on 31-10-2024),Number of Beneficiaries - PMMVY (as on 26-11-2024)
1,Andaman and Nicobar Islands,2006,254,9193
2,Andhra Pradesh,42437,12260,1748099
3,Arunachal Pradesh,2295,1890,30330
4,Assam,23917,27125,1275830
5,Bihar,40469,55649,3468749
6,Chandigarh,1682,82255,36985
7,Chhattisgarh,45965,34471,998817
8,Dadra Nagar Haveli and Daman and Diu,1235,1093,22433
9,Delhi,21120,4412802,473089
10,Goa,7051,41005,30828
11,Gujarat,38468,1460844,1448683
12,Haryana,44478,21654,858541
13,Himachal Pradesh,3376,43417,306815
14,Jammu and Kashmir,12581,10684,409130
15,Jharkhand,5115,70617,871639
16,Karnataka,28073,33243,2613804
17,Kerala,20620,152353,1081633
18,Ladakh,79,111,6971
19,Lakshadweep,0,0,2281
20,Madhya Pradesh,104072,119485,4231228
21,Maharashtra,33698,116055,3590812
22,Manipur,1746,1194,77522
23,Meghalaya,4004,4059,61187
24,Mizoram,1872,19656,41176
25,Nagaland,1394,3245,39086
26,Odisha,21891,42033,6
27,Puducherry,465,355,38736
28,Punjab,19566,268674,676444
29,Rajasthan,47837,71931,2551557
30,Sikkim,1637,582,14914
31,Tamil Nadu,96173,131669,1561262
32,Telangana,68310,64500,0
33,Tripura,828,556,123910
34,Uttar Pradesh,254873,807340,5882393
35,Uttarakhand,8485,51735,381095
36,West Bengal,4541,0,1638005
Total,Total,1012359,8164796,36603183
