Sl. No.,Name of the District,Number of beneficiary benefited during 2017-19 (01.04.2017 to 31.03.2019),Number of beneficiary benefited during 2019-20 (01.04.2019 to 30.06.2019)
1,Agra,16132,11430
2,Aligarh,15955,7554
3,Allahabad,24026,13046
4,Ambedkar Nagar,22545,5701
5,Auraiya,8791,2944
6,Azamgarh,29740,10903
7,Baghpat,7701,1733
8,Bahraich,27568,10025
9,Ballia,20644,7551
10,Balrampur,15929,6167
11,Banda,14495,3389
12,Barabanki,19782,8090
13,Bareilly,30212,10141
14,Basti,15858,4110
15,Bijnor,14729,6681
16,Budaun,19541,8070
17,Bulandshahr,23374,4997
18,Chandauli,12549,5827
19,Chitrakoot,6777,1662
20,Deoria,21983,6893
21,Etah,10509,3050
22,Etawah,11192,3162
23,Faizabad,16582,5334
24,Farrukhabad,9185,2058
25,Fatehpur,15735,4087
26,Firozabad,14055,4439
27,Gautam Buddha Nagar,7756,3196
28,Ghaziabad,13965,6420
29,Ghazipur,19556,9745
30,Gonda,22534,6824
31,Gorakhpur,22203,9928
32,Hamirpur,7323,1463
33,Hardoi,37408,10736
34,Jalaun,13496,3097
35,Jaunpur,24833,7901
36,Jhansi,17294,4149
37,Amroha,11476,3117
38,Kannauj,10382,2850
39,Kanpur Dehat,10110,3474
40,Kanpur Nagar,13281,6790
41,Kaushambi,10376,6648
42,Kheri,22674,9093
43,Kushi Nagar,19622,7040
44,Lalitpur,12480,2482
45,Lucknow,22016,7780
46,Hathras,12564,6103
47,Maharajganj,27104,7444
48,Mahoba,7949,3375
49,Mainpuri,11177,3944
50,Mathura,16437,3781
51,Mau,20608,4533
52,Meerut,16637,9679
53,Mirzapur,12676,4433
54,Moradabad,15257,6124
55,Muzaffarnagar,17428,5350
56,Pilibhit,14959,4350
57,Pratapgarh,24662,8441
58,Rae Bareli,25958,10577
59,Rampur,18168,7437
60,Saharanpur,20009,9965
61,Sant Kabeer Nagar,12438,4102
62,Bhadohi,9901,2816
63,Shahjahanpur,15207,5601
64,Shravasti,10443,2050
65,Siddharth Nagar,11415,4584
66,Sitapur,43366,21905
67,Sonbhadra,13025,3517
68,Sultanpur,24383,5748
69,Unnao,27071,7352
70,Varanasi,24379,7415
71,Kasganj,8499,5155
72,Amethi,15875,4529
73,Sambhal,11115,4762
74,Shamli,8994,3022
75,Hapur,8606,3245
Total,Total,1270684,453116
