"District (English)","District (Hindi)","Total Application","Processed Within Due date(Approved/Rejected/Sendback)","Processed Within Due date Marks(Approved/Rejected/Sendback)","Pending Beyond Due Date","Pending Beyond Due Date Marks","Approved Beyond Due Date","Approved Beyond Due Date Marks","Total Marks","Ranking"
"Bijapur","बीजापुर","65683","65070","96.85","0","0.00","372","0.57","48.30","1"
"Dantewada","दन्तेवाड़ा","36557","36330","92.64","0","0.00","37","0.10","46.27","2"
"Sukma","सुकमा","34007","33525","92.58","1","0.00","274","0.81","46.10","3"
"Raigarh","रायगढ़","140886","138110","92.71","9","0.01","1833","1.30","46.07","4"
"Mungeli","मुंगेली","105581","102951","92.57","0","0.00","1921","1.82","45.89","5"
"Janjgir-Champa","जांजगीर-चांपा","162618","157186","92.27","0","0.00","3111","1.91","45.73","6"
"Bastar","बस्तर","86653","85511","91.76","19","0.02","656","0.76","45.69","7"
"Kanker","कांकेर","78856","76534","92.01","1","0.00","1564","1.98","45.58","8"
"Dhamtari","धमतरी","116251","114780","90.30","0","0.00","364","0.31","45.04","9"
"Kabirdham","कबीरधाम","100128","98151","90.31","5","0.00","1092","1.09","44.90","10"
"Sakti","सक्ती","93696","90013","90.44","0","0.00","2495","2.66","44.66","11"
"Gariyaband","गरियाबंद","69140","66774","90.35","5","0.01","1760","2.55","44.63","12"
"Balrampur","बलरामपुर","74130","70659","89.59","0","0.00","2244","3.03","44.16","13"
"Narayanpur","नारायणपुर","23392","23049","88.63","2","0.01","125","0.53","44.16","14"
"Balodabazar - Bhatapara","बलौदा बाजार - भाटापारा","167000","159284","89.87","0","0.00","6502","3.89","44.13","15"
"Jashpur","जशपुर","97233","93859","88.79","7","0.01","2597","2.67","43.82","16"
"Sarangarh-Bilaigarh","सारंगढ़-बिलाईगढ़","112719","107120","88.96","0","0.00","4797","4.26","43.60","17"
"Korba","कोरबा","107124","102535","88.24","2","0.00","3221","3.01","43.48","18"
"Korea","कोरिया","37246","36334","87.75","1","0.00","663","1.78","43.47","19"
"Bilaspur","बिलासपुर","185881","177507","87.31","1","0.00","4631","2.49","43.11","20"
"Bemetara","बेमेतरा","107647","99831","86.37","0","0.00","2290","2.13","42.73","21"
"Raipur","रायपुर","242177","235004","86.37","1","0.00","5347","2.21","42.69","22"
"Rajnandgaon","राजनांदगांव","154396","147441","86.33","1","0.00","5408","3.50","42.42","23"
"Surguja","सरगुजा","101488","96105","85.25","0","0.00","2436","2.40","42.10","24"
"Mohla-Manpur-Ambagarh Chouki","मोहला-मानपुर-अम्बागढ़ चौकी","80067","73602","86.65","0","0.00","6272","7.83","41.73","25"
"Surajpur","सूरजपुर","70488","65947","85.34","3","0.00","3527","5.00","41.63","26"
"Balod","बालोद","124178","113907","85.88","0","0.00","9039","7.28","41.46","27"
"Manendragarh-Chirimiri-Bharatpur","मनेन्द्रगढ़-चिरिमिरी-भरतपुर","26362","24910","84.69","63","0.24","1069","4.06","41.41","28"
"Durg","दुर्ग","220064","204695","84.60","3","0.00","11716","5.32","41.19","29"
"Mahasamund","महासमुंद","124455","117694","81.79","2","0.00","4602","3.70","40.09","30"
"Khairagarh-Chhuikhadan-Gandai","खैरागढ़-छुईखदान-गण्डई","82730","75268","83.40","11","0.01","6785","8.20","40.02","31"
"Kondagaon","कोंडागांव","106127","100214","80.71","0","0.00","4368","4.12","39.46","32"
"Gaurela-Pendra-Marwahi","गौरेला-पेण्ड्रा-मरवाही","35769","33407","77.95","27","0.08","1915","5.35","37.80","33"
