serial_no,division,district,unlabeled_count,source_date,scheme,source_url,note
1,Bhopal,BHOPAL,411,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
2,Bhopal,RAISEN,1584,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
3,Bhopal,RAJGARH,178,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
4,Bhopal,SEHORE,2265,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
5,Bhopal,VIDISHA,750,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
6,Chambal,BHIND,769,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
7,Chambal,MORENA,272,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
8,Chambal,SHEOPUR,47,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
9,Gwalior,ASHOKNAGAR,285,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
10,Gwalior,DATIA,736,2023-03-25,Mukhyamantri Ladli Behna Yojana,https://www.mpinfo.org/mpinfoNew/Uploads/PDF/Saturday%2C%20March%2025%2C%202023/D-250323111037.pdf,PDF title identifies the scheme but does not label what the count column represents; do not treat as beneficiary count without external validation.
