Sr. No.,State / Union Territory,Volume (in Mn),Volume Contribution (%),Value (in Cr.),Value Contribution (%)
1,MAHARASHTRA,"1,859.79",20.98%,"2,60,344.80",18.39%
2,KARNATAKA,772.62,8.72%,"1,14,007.15",8.05%
3,TELANGANA,683.07,7.71%,"1,21,761.16",8.60%
4,UTTAR PRADESH,569.78,6.43%,"87,585.09",6.19%
5,TAMIL NADU,433.99,4.90%,"73,484.77",5.19%
6,RAJASTHAN,391.83,4.42%,"64,347.76",4.55%
7,MADHYA PRADESH,375.53,4.24%,"56,076.31",3.96%
8,DELHI,330.04,3.72%,"46,799.01",3.31%
9,GUJARAT,280.81,3.17%,"46,154.94",3.26%
10,ANDHRA PRADESH,279.96,3.16%,"59,444.05",4.20%
11,BIHAR,267.97,3.02%,"48,787.79",3.45%
12,WEST BENGAL,233.46,2.63%,"43,922.05",3.10%
13,HARYANA,225.35,2.54%,"35,256.24",2.49%
14,KERALA,201.13,2.27%,"31,243.16",2.21%
15,ODISHA,184.79,2.08%,"28,296.73",2.00%
16,PUNJAB,123.33,1.39%,"21,576.93",1.52%
17,JHARKHAND,93.42,1.05%,"14,905.34",1.05%
18,ASSAM,81.02,0.91%,"14,333.08",1.01%
19,UTTARAKHAND,79.24,0.89%,"11,091.58",0.78%
20,CHHATTISGARH,78.23,0.88%,"11,254.99",0.80%
21,HIMACHAL PRADESH,34.96,0.39%,"4,786.04",0.34%
22,JAMMU AND KASHMIR,28.44,0.32%,"4,783.74",0.34%
23,GOA,20.03,0.23%,"2,988.02",0.21%
24,CHANDIGARH,18.64,0.21%,"2,531.42",0.18%
25,PUDUCHERRY,9.52,0.11%,"1,432.15",0.10%
26,MANIPUR,8.19,0.09%,"2,155.67",0.15%
27,ARUNACHAL PRADESH,6.62,0.07%,"1,341.62",0.09%
28,DADRA & NAGAR HAVELI & DAMAN & DIU,5.67,0.06%,641.58,0.05%
29,TRIPURA,5.52,0.06%,993.56,0.07%
30,MEGHALAYA,4.26,0.05%,852.30,0.06%
31,NAGALAND,3.64,0.04%,982.40,0.07%
32,SIKKIM,3.44,0.04%,660.99,0.05%
33,MIZORAM,3.25,0.04%,774.43,0.05%
34,ANDAMAN & NICOBAR,1.6,0.02%,334.49,0.02%
35,LADAKH,1.39,0.02%,368.52,0.03%
36,LAKSHADWEEP,0.09,0.00%,23.34,0.00%
37,UNCLASSIFIED#,"1,162.65",13.12%,"1,99,181.50",14.07%
