dataset,variable,label
NFHS-5 Household,hhid,case identification
NFHS-5 Household,hv000,country code and phase
NFHS-5 Household,hv001,cluster number
NFHS-5 Household,hv002,household number
NFHS-5 Household,hv003,respondent's line number (answering household questionnaire)
NFHS-5 Household,hv004,ultimate area unit
NFHS-5 Household,hv005,household sample weight (6 decimals)
NFHS-5 Household,hv006,month of interview
NFHS-5 Household,hv007,year of interview
NFHS-5 Household,hv008,date of interview (cmc)
NFHS-5 Household,hv008a,date of interview century day code (cdc)
NFHS-5 Household,hv009,number of household members
NFHS-5 Household,hv010,number of eligible women in household
NFHS-5 Household,hv011,number of eligible men in household
NFHS-5 Household,hv012,number of de jure members
NFHS-5 Household,hv013,number of de facto members
NFHS-5 Household,hv014,number of children 5 and under (de jure)
NFHS-5 Household,hv015,result of household interview
NFHS-5 Household,hv016,day of interview
NFHS-5 Household,hv017,number of visits
NFHS-5 Household,hv018,interviewer identification
NFHS-5 Household,hv019,na - keyer identification
NFHS-5 Household,hv020,ever-married sample
NFHS-5 Household,hv021,primary sampling unit
NFHS-5 Household,hv022,sample strata for sampling errors
NFHS-5 Household,hv023,stratification used in sample design
NFHS-5 Household,hv024,state
NFHS-5 Household,hv025,type of place of residence
NFHS-5 Household,hv026,na - place of residence
NFHS-5 Household,hv027,household selected for male interview
NFHS-5 Household,hv028,household weight for male subsample (6 decimals)
NFHS-5 Household,hv030,field supervisor
NFHS-5 Household,hv031,na - field editor
NFHS-5 Household,hv032,na - office editor
NFHS-5 Household,hv035,number of eligible children for height and weight
NFHS-5 Household,hv040,cluster altitude in meters
NFHS-5 Household,hv041,total adults measured
NFHS-5 Household,hv042,household selected for hemoglobin
NFHS-5 Household,hv044,household selected for domestic violence module
NFHS-5 Household,hv045a,language of questionnaire
NFHS-5 Household,hv045b,language of interview
NFHS-5 Household,hv045c,native language of respondent
NFHS-5 Household,hv046,translator used
NFHS-5 Household,hv801,time interview started (hhmm - 24 hour clock)
NFHS-5 Household,hv802,time interview ended (hhmm - 24 hour clock)
NFHS-5 Household,hv803,length of interview in minutes
NFHS-5 Household,hv804,number of visits for biomarker
NFHS-5 Household,hv807d,day of biomarker visit
NFHS-5 Household,hv807m,month of biomarker visit
NFHS-5 Household,hv807y,year of biomarker visit
NFHS-5 Household,hv807c,date of biomarker (cmc)
NFHS-5 Household,hv807a,date of biomarker century day code (cdc)
NFHS-5 Household,hv201,source of drinking water
NFHS-5 Household,hv202,na - source of non-drinking water
NFHS-5 Household,hv201a,na - water not available for at least a day last two weeks
NFHS-5 Household,hv204,time to get to water source (minutes)
NFHS-5 Household,hv205,type of toilet facility
NFHS-5 Household,hv206,has electricity
NFHS-5 Household,hv207,has radio
