outcome,label,treat,b,se,p,n
bank_account_self_use,Bank account self-use,net,-0.019834647896732893,0.015953926144580067,0.21377735731032343,6388
mobile_phone_self_use,Mobile phone self-use,net,0.00014463296614770178,0.012298802505406478,0.9906171555500214,6388
worked_last_12_months,Worked last 12 months,net,-0.00885981701020197,0.03042579396840573,0.7709027409848688,6388
own_money_autonomy,Own money autonomy,net,-0.02440221082432094,0.027424616312177755,0.3735774532413587,6388
loan_program_knowledge,Loan programme knowledge,net,-0.012370707062785619,0.03386981946317093,0.7149301860472884,6388
bank_account_self_use,Bank account self-use,cat1,-0.02632897945173973,0.01528694894431159,0.0850120220937585,6388
mobile_phone_self_use,Mobile phone self-use,cat1,0.006765071420039554,0.011273241022252235,0.5484396231655305,6388
worked_last_12_months,Worked last 12 months,cat1,-0.015376062729406243,0.024771662466654427,0.5347892765482221,6388
own_money_autonomy,Own money autonomy,cat1,-0.027738140615525993,0.024218079648461465,0.25206483264774715,6388
loan_program_knowledge,Loan programme knowledge,cat1,-0.032115309273218304,0.027114206932254824,0.23623662838469806,6388
bank_account_self_use,Bank account self-use,cat2,-0.02466027110748211,0.018535990342465905,0.18338670012922154,6388
mobile_phone_self_use,Mobile phone self-use,cat2,-0.0007330462061004069,0.010885765202391975,0.9463111231571691,6388
worked_last_12_months,Worked last 12 months,cat2,0.002787497469252812,0.026724158147328994,0.9169262959620994,6388
own_money_autonomy,Own money autonomy,cat2,-0.020914123175045592,0.02317811396889547,0.366885818760156,6388
loan_program_knowledge,Loan programme knowledge,cat2,-0.03390722874947376,0.025728756131296174,0.18754622117294995,6388
