outcome,regressor,b,se,p,n,r2
child_marriage,branch_density_std,-0.4107455326039398,0.630424154040884,0.5146990096477277,544,0.7061421068249799
teen_pregnancy,branch_density_std,-0.4027592809831434,0.29113465919200293,0.1665384680550106,544,0.6180439121892035
literacy,branch_density_std,-0.2554757961232186,0.3978888313584432,0.5208223256607968,544,0.9291860334186782
schooling_10plus,branch_density_std,1.4436921890124172,0.38617482690388116,0.00018516420441976625,544,0.8872876279409972
child_marriage,log_branch_std,-1.2601061036073473,0.6408886315261464,0.049277156312760556,544,0.7082002828017675
teen_pregnancy,log_branch_std,-0.6878592140297194,0.3279503108628815,0.035953803529624025,544,0.6208050712965659
literacy,log_branch_std,0.038444760629962715,0.3296604224634525,0.907161759904619,544,0.9290683864104125
schooling_10plus,log_branch_std,1.7068956990789106,0.491207263927277,0.0005110454591403524,544,0.8879389678398308
child_marriage,deposits_pc_std,-0.3861726006979131,0.20656001401909893,0.0615474601648152,544,0.7066280647847851
teen_pregnancy,deposits_pc_std,-0.23384609649251736,0.3749891573983974,0.5328853041756039,544,0.6181144999220094
literacy,deposits_pc_std,-0.4729349910525351,1.3314749873524805,0.7224425352924158,544,0.9303355903839339
schooling_10plus,deposits_pc_std,0.5816501991159228,2.137299822302853,0.7855124224332333,544,0.8859068617060368
child_marriage,branch_density_nofixed,-3.0052110132054373,0.5712085944880507,1.431613871212753e-07,544,0.31871814893822725
teen_pregnancy,branch_density_nofixed,-1.481558520857779,0.2534393581984738,5.0410695463434854e-09,544,0.11088399709478824
literacy,branch_density_nofixed,0.8495030646977855,0.34883473695520023,0.014881118287639834,544,0.8869109470710876
schooling_10plus,branch_density_nofixed,4.540927237101627,0.5100333591570704,5.426097986016146e-19,544,0.7030056157659614
