state_orig_n,dist_raw_n,branch_density,deposits_pc,child_marriage,teen_pregnancy,literacy,schooling_10plus
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,7.575972802257639,26004.52664374935,15.38,3.83,84.01,41.03
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,18.896288768885793,92281.07599667425,17.06,2.81,86.67,57.5
ANDHRA PRADESH,SRIKAKULAM,7.731823371119383,15368.941154535103,25.4,5.46,64.32,42.51
ANDHRA PRADESH,VIZIANAGARAM,8.743965597400527,16105.105025690198,33.72,12.74,58.32,37.63
ANDHRA PRADESH,VISAKHAPATNAM,12.562377799411689,64347.10945280473,25.41,9.5,69.54,45.98
ANDHRA PRADESH,EAST GODAVARI,10.82592074649962,27404.906509055745,25.99,6.22,77.87,43.21
ANDHRA PRADESH,WEST GODAVARI,11.37932103045848,24375.877261830556,22.09,13.35,76.97,46.47
ANDHRA PRADESH,KRISHNA,13.414802060832365,42143.065543483215,25.32,9.6,76.85,46.17
ANDHRA PRADESH,GUNTUR,11.8867067950431,26706.627278907767,35.37,20.7,68.48,32.61
ANDHRA PRADESH,PRAKASAM,10.50788709643238,18022.056555390987,37.28,16.42,62.83,34.54
ANDHRA PRADESH,KURNOOL,8.733273253018469,18666.75482174131,36.94,12.37,56.97,33.38
ANDHRA PRADESH,ANANTAPUR,8.79654450169413,24548.72991619025,37.29,13.6,63.55,31.25
ANDHRA PRADESH,CHITTOOR,10.421498089152443,47257.061702935076,28.06,19.73,69.32,40.33
ARUNACHAL PRADESH,TAWANG,12.00552254036857,123476.79932769074,11.92,1.41,59.08,39.24
ARUNACHAL PRADESH,WEST KAMENG,10.72105018642715,46303.024527380374,12.46,1.37,73.69,43.58
ARUNACHAL PRADESH,EAST KAMENG,2.5416190113102046,11856.652687762104,26.51,8.05,62.16,31.84
ARUNACHAL PRADESH,UPPER SUBANSIRI,4.793404275716614,16189.722941232863,26.66,13.19,64.31,31.8
ARUNACHAL PRADESH,UPPER SIANG,5.662514156285391,21489.241223103058,17.05,7.06,74.37,34.75
ARUNACHAL PRADESH,LOWER SUBANSIRI,7.226303745634108,20089.12441286282,16.01,2.01,76.8,49.91
ARUNACHAL PRADESH,DIBANG VALLEY,12.493753123438282,27861.069465267366,20.71,0.67,77.83,43.17
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,3.6982248520710064,27921.597633136094,13.79,1.55,81.56,51.89
ARUNACHAL PRADESH,ANJAW,9.44867009968347,11338.404119620163,21.8,5.06,67.89,28.81
ARUNACHAL PRADESH,EAST SIANG,14.110911766484568,38230.49166448283,14.91,4.59,83.76,55.56
