outcome,regressor,b,se,p,n
bank_account,pmmvy_intensity_did,0.02076135545928902,0.015470213983853835,0.17958911508246522,230264
mobile_use,pmmvy_intensity_did,-0.0029136289696840515,0.004685509055256032,0.5340482015390384,230264
money_autonomy,pmmvy_intensity_did,0.011500346456792895,0.011370679170175951,0.3118232732033317,230264
decision_has_say,pmmvy_intensity_did,0.003928161980529372,0.005719746226752956,0.4922263701528865,163165
bank_account,triple_interaction,-0.0035994718153551444,0.020031989804130314,0.8573989400990303,229839
mobile_use,triple_interaction,0.01243755920828748,0.012189481314460932,0.3075616443274989,229839
money_autonomy,triple_interaction,0.017811812390824393,0.021904095516747303,0.4161190519070249,229839
decision_has_say,triple_interaction,7.38012870433874e-05,0.009407187494741658,0.9937404985810796,162872
bank_account,rob_excl_large,0.017429559535229365,0.016678459667566925,0.29600719712230117,177439
mobile_use,rob_excl_large,-0.003134756242728331,0.004572713308236673,0.49300621347842544,177439
money_autonomy,rob_excl_large,0.011210043798784076,0.011306581748679377,0.32146014044295523,177439
decision_has_say,rob_excl_large,0.003534658896192283,0.005453140531165867,0.5168635234515044,125702
bank_account,rob_tn_zero,0.023060454180989225,0.012901400457072313,0.07386671507947705,230264
mobile_use,rob_tn_zero,-0.0027388540024253687,0.0038089973138350675,0.47211100520676497,230264
money_autonomy,rob_tn_zero,0.013540779490561854,0.009877004813102342,0.17039370768227802,230264
decision_has_say,rob_tn_zero,0.0029375143589460105,0.004498479441836089,0.513755234719339,163165
bank_account,rob_ap_split_legacy,0.02078909419656797,0.015495948755347266,0.17973139250383374,230786
mobile_use,rob_ap_split_legacy,-0.0006549363543581537,0.004757374737656915,0.8905031283283246,230786
money_autonomy,rob_ap_split_legacy,0.01170280949731804,0.011539033756261525,0.31049057572728334,230786
decision_has_say,rob_ap_split_legacy,0.0013333615322713125,0.004508352392540302,0.7674182464297952,163533
