state_n,pmmvy_ben,female_pop_2011,pmmvy_intensity,pmmvy_intensity_std,intensity_tercile
ANDAMAN AND NICOBAR ISLANDS,9193,177710.0,51.73034719486804,-0.4278285285439172,Low
ANDHRA PRADESH,1748099,24693237.766000003,70.7926200916005,0.385014872933983,Mid
ARUNACHAL PRADESH,30330,669815.0,45.28115972320715,-0.7028313841651939,Low
ASSAM,1275830,15266133.0,83.57257204558614,0.9299708534342147,High
BIHAR,3468749,49821295.0,69.62382250401159,0.3351756217658924,Mid
CHANDIGARH,36985,474787.0,77.89808903782118,0.6880025375545874,High
CHHATTISGARH,998817,12712303.0,78.57089309466585,0.7166918938058817,High
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,22433,242895.0,92.35677967846188,1.3045424090024267,High
DELHI,473089,7800615.0,60.64765406317323,-0.047581425476900197,Mid
GOA,30828,719405.0,42.85207914874098,-0.8064109587158987,Low
GUJARAT,1448683,28948432.0,50.04357403537435,-0.49975502125085447,Low
HARYANA,858541,11856728.0,72.4096057529531,0.45396552389964717,High
HIMACHAL PRADESH,306815,3382729.0,90.70043742788737,1.233913535086802,High
JAMMU AND KASHMIR,409130,5900640.0,69.33654654410368,0.32292575158097886,Mid
JHARKHAND,871639,16057819.0,54.28128191007758,-0.3190529138996419,Mid
KARNATAKA,2613804,30128640.0,86.75479543716544,1.0656655473401677,High
KERALA,1081633,17378649.0,62.23918786782563,0.02028392081989285,Mid
LAKSHADWEEP,2281,31350.0,72.75917065390749,0.4688714863034148,High
MADHYA PRADESH,4231228,35014503.0,120.84215503501507,2.519200782777172,High
MAHARASHTRA,3590812,54131277.0,66.33525383116307,0.19494620838413063,Mid
MANIPUR,77522,1417208.0,54.700509734633165,-0.30117642179652265,Mid
MEGHALAYA,61187,1475057.0,41.4811088656235,-0.8648711514899384,Low
MIZORAM,41176,541867.0,75.98912648306688,0.6066015616737728,High
NAGALAND,39086,953853.0,40.97696395566194,-0.8863686332262936,Low
ODISHA,0,20762082.0,0.0,-2.633686749192779,Low
PUDUCHERRY,38736,635442.0,60.95914339939758,-0.03429906125137814,Mid
PUNJAB,676444,13103873.0,51.62168467292075,-0.4324620585763165,Low
RAJASTHAN,2551557,32997440.0,77.32590770677967,0.6636038825827737,High
SIKKIM,14914,287507.0,51.87351960126188,-0.42172344619401037,Low
TAMIL NADU,1561262,36009055.0,43.35748327747007,-0.7848597820360418,Low
TELANGANA,0,17445393.233999997,0.0,-2.633686749192779,Low
TRIPURA,123910,1799541.0,68.85644728294604,0.30245361173697827,Mid
UTTAR PRADESH,5882393,95331831.0,61.70439546052566,-0.0025204153570786963,Mid
UTTARAKHAND,381095,4948519.0,77.0119302360969,0.6502154206380829,High
WEST BENGAL,1638005,44467088.0,36.83634511888883,-1.0629307209552465,Low
