state_canon,round,bank_account_use,mobile_use,decisions,child_marriage,literacy,pop_2011,deposits_cr_2013,offices_2013,deposits_cr_2016,offices_2020,deposits_cr_2020,deposits_pc,log_deposits_pc,branch_density,log_branch,deposits_pc_std,log_deposits_pc_std,branch_density_std,log_branch_std,t,state_code
ANDAMAN AND NICOBAR ISLANDS,NFHS-3,,,,,,380581.0,2588.8,56.0,3232.1512,138.0,11675.961,68022.31325263216,11.127591066401498,14.714344646737487,2.688822844284384,-0.43941540985570354,-0.4227094582935697,-0.3279039029012405,-0.08841097585232274,0,0
ANDAMAN AND NICOBAR ISLANDS,NFHS-4,81.8,66.9,92.6,17.1,84.1,380581.0,2588.8,56.0,3232.1512,138.0,11675.961,84926.7619770824,11.349544540262277,14.714344646737487,2.688822844284384,-0.36764514332191206,-0.1922995211332847,-0.3279039029012405,-0.08841097585232274,1,0
ANDAMAN AND NICOBAR ISLANDS,NFHS-5,89.21,80.83,94.48,16.21,85.97,380581.0,2588.8,56.0,3232.1512,138.0,11675.961,306793.0611354744,12.633928731320758,36.260349308031664,3.590724838706439,0.5743201159433866,1.1410199156108045,1.1037583543986063,1.2624680888401,2,0
ANDHRA PRADESH,NFHS-3,,,,,,84580777.0,416688.3,9199.0,210237.4793,14220.0,655893.7213000001,49265.13030259819,10.804971813685547,10.87599372609216,2.3865579499120364,-0.5190517258155313,-0.7576205567862517,-0.5829498954063753,-0.5411467723406395,0,1
ANDHRA PRADESH,NFHS-4,66.3,36.2,79.9,32.7,62.9,84580777.0,416688.3,9199.0,210237.4793,14220.0,655893.7213000001,24856.413804285577,10.12087109899858,10.87599372609216,2.3865579499120364,-0.6226824396818672,-1.4677856194930432,-0.5829498954063753,-0.5411467723406395,1,1
ANDHRA PRADESH,NFHS-5,81.78,48.94,84.05,29.34,68.64,84580777.0,416688.3,9199.0,210237.4793,14220.0,655893.7213000001,77546.4289362109,11.25863211901071,16.812330773456953,2.822112591792111,-0.39897940793388753,-0.28667572035782274,-0.18849951674334114,0.11123192388614646,2,1
ARUNACHAL PRADESH,NFHS-3,19.0,,95.7,42.0,52.7,1383727.0,6781.400000000001,115.0,8732.1238,306.0,31384.504500000003,49008.22199754721,10.799743358884921,8.31088791358411,2.117566451966182,-0.5201424669469819,-0.7630482165615312,-0.7533928724444973,-0.9440452972387496,0,2
ARUNACHAL PRADESH,NFHS-4,56.6,59.8,89.1,23.5,65.6,1383727.0,6781.400000000001,115.0,8732.1238,306.0,31384.504500000003,63105.827955947956,11.052568404897414,8.31088791358411,2.117566451966182,-0.46028905477037774,-0.5005904953508947,-0.7533928724444973,-0.9440452972387496,1,2
ARUNACHAL PRADESH,NFHS-5,78.24,76.36,87.03,18.88,73.78,1383727.0,6781.400000000001,115.0,8732.1238,306.0,31384.504500000003,226811.3905416314,12.331874072421309,22.114188709189023,3.0962194255553124,0.2347464386287653,0.8274569252894732,0.16379177899693154,0.5217922569488491,2,2
ASSAM,NFHS-3,11.7,,88.1,38.0,63.0,31205576.0,77461.9,1790.0,102303.8824,5778.0,332539.4366,24823.095718534405,10.11952977775501,5.736154333443484,1.7467890090447504,-0.6228238964033337,-1.469178045293219,-0.9244755834731337,-1.4993999681458872,0,3
ASSAM,NFHS-4,45.4,46.0,87.4,32.6,71.8,31205576.0,77461.9,1790.0,102303.8824,5778.0,332539.4366,32783.84683557836,10.397691198541779,5.736154333443484,1.7467890090447504,-0.5890253834324232,-1.1804186293261767,-0.9244755834731337,-1.4993999681458872,1,3
ASSAM,NFHS-5,78.49,57.24,92.08,31.82,77.2,31205576.0,77461.9,1790.0,102303.8824,5778.0,332539.4366,106564.10783765055,11.576502034558704,18.51592164169634,2.9186309912361303,-0.27578068179406,0.04330509045164799,-0.07530141870707581,0.2557982802895357,2,3
BIHAR,NFHS-3,8.2,,69.2,60.3,37.0,104099452.0,179390.5,5110.0,243073.2024,14592.0,759355.1796,17232.60752611839,9.754558654468667,4.908767435202253,1.5910228787657053,-0.6550504049142766,-1.8480546274839198,-0.9794527643016654,-1.7327082496260207,0,4
BIHAR,NFHS-4,26.4,40.9,75.2,39.1,49.6,104099452.0,179390.5,5110.0,243073.2024,14592.0,759355.1796,23350.094330948064,10.05835630295818,4.908767435202253,1.5910228787657053,-0.6290777354911952,-1.5326822393868664,-0.9794527643016654,-1.7327082496260207,1,4
BIHAR,NFHS-5,76.7,51.36,86.53,40.8,57.78,104099452.0,179390.5,5110.0,243073.2024,14592.0,759355.1796,72945.16589770328,11.19746328578819,14.017364856060913,2.6402969078820675,-0.41851473144834983,-0.3501750960324245,-0.37421595360848575,-0.16109367528741111,2,4
CHANDIGARH,NFHS-3,,,,,,1055450.0,50413.6,341.0,55680.532,802.0,145481.1978,477650.29134492396,13.076634135652798,32.308494007295465,3.4753301680195285,1.29971904206284,1.6005924675441252,0.8411703632923927,1.0896286386868541,0,5
CHANDIGARH,NFHS-4,79.6,74.2,96.6,12.7,83.2,1055450.0,50413.6,341.0,55680.532,802.0,145481.1978,527552.5320953148,13.176003726284462,32.308494007295465,3.4753301680195285,1.5115861770205614,1.7037480556717808,0.8411703632923927,1.0896286386868541,1,5
CHANDIGARH,NFHS-5,87.1,70.0,94.57,9.72,82.96,1055450.0,50413.6,341.0,55680.532,802.0,145481.1978,1378380.7646027762,14.136420009225283,75.98654602302335,4.330556298602526,5.123899717491911,2.7007563545322597,3.743435517612705,2.37059606367055,2,5
CHATTISGARH,NFHS-3,8.1,,76.6,55.0,44.9,,,,,,,,,,,,,,,0,6
CHATTISGARH,NFHS-4,51.3,31.0,90.5,21.3,66.3,,,,,,,,,,,,,,,1,6
CHHATTISGARH,NFHS-5,80.34,40.74,92.66,12.04,74.62,25545198.0,83417.8,1930.0,104611.7235,5512.0,329323.4112,128917.93252101626,11.766931298886542,21.57744089515376,3.0716483659191285,-0.18087430645309302,0.24098974059043446,0.1281266244069053,0.4849894443759599,2,7
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,NFHS-3,,,,,,586956.0,5355.1,87.0,6808.3879,220.0,19667.4446,91235.11813491983,11.421195169211906,14.822235397542576,2.6961284450345877,-0.34086211062926786,-0.11791899161684158,-0.3207349117927929,-0.0774685639611329,0,8
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,NFHS-4,49.4,48.75,82.6,26.45,72.8,586956.0,5355.1,87.0,6808.3879,220.0,19667.4446,115994.85992135697,11.661301158083955,14.822235397542576,2.6961284450345877,-0.23574106845353496,0.1313350743164461,-0.3207349117927929,-0.0774685639611329,1,8
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,NFHS-5,83.62,60.54,91.85,26.41,77.26,586956.0,5355.1,87.0,6808.3879,220.0,19667.4446,335075.27991876734,12.722110501737731,37.48151479838352,3.6238478727323655,0.6943963404527398,1.2325614257617201,1.1849008478649008,1.3120801459166471,2,8
DELHI,NFHS-3,30.4,,84.8,22.7,77.3,16787941.0,785733.5,2969.0,967058.69,7286.0,2435300.6402,468034.4659300387,13.056297217337768,17.685313523558367,2.8727345507196036,1.2588936732964198,1.5794807093477248,-0.13049263916945747,0.18705406969777688,0,9
