outcome,regressor,b,se,p,n
child_marriage,log_branch_2013,-1.2956698222914156,0.6412253083807993,0.04331957908001659,543
child_marriage,log_branch_2020,-0.9589513687023931,0.6787437099223911,0.1577048948439661,514
teen_pregnancy,log_branch_2013,-0.7001295861732758,0.32823300247670256,0.032922578953120965,543
teen_pregnancy,log_branch_2020,-0.37576760483158916,0.3473800215063452,0.27937736272453095,514
literacy,log_branch_2013,0.03479970385787312,0.3302842524980214,0.9160878604216265,543
literacy,log_branch_2020,-0.3293835961286966,0.3333661107384887,0.32312638325032994,514
schooling_10plus,log_branch_2013,1.688556527727304,0.4920430246460724,0.0005997545837794384,543
schooling_10plus,log_branch_2020,1.5787751090745186,0.5206393770498561,0.0024263559340434357,514
child_marriage,log_branch_growth,0.3330328040229096,0.39322317334623336,0.39703371183025093,514
teen_pregnancy,log_branch_growth,0.23596176176950878,0.19062409907624925,0.21577611920759965,514
literacy,log_branch_growth,-0.29023103976281006,0.18674224922967808,0.12014152398559744,514
schooling_10plus,log_branch_growth,0.26722032433883114,0.3253639766197865,0.4114773498828531,514
child_marriage,log_deposits_growth,0.3917510466283697,0.34958686543089973,0.26245328604853213,514
teen_pregnancy,log_deposits_growth,0.20965076266172608,0.20685293313812597,0.3108091296434119,514
literacy,log_deposits_growth,0.17217223285365968,0.1674768679852649,0.3039329404278466,514
schooling_10plus,log_deposits_growth,-0.05385592265091699,0.27371153459692077,0.8440140933317724,514
