rel_t,b,se,p,state
-6,0.04607081970533262,0.018596902378472294,0.01323663485920306,CHHATTISGARH
-5,0.022821052539349934,0.013720246766833928,0.09624997674742479,CHHATTISGARH
-4,-0.02567314636499188,0.013161226365134624,0.051096884700200636,CHHATTISGARH
-3,-0.10207246001443673,0.014449587615326985,1.6173054995458657e-12,CHHATTISGARH
-2,-0.00015236438753413184,0.026547345690619898,0.9954206900217784,CHHATTISGARH
-1,0.0,0.0,1.0,CHHATTISGARH
0,0.008401241003828878,0.027318077961388926,0.758436858212112,CHHATTISGARH
1,-0.0233822707689524,0.02996569079266265,0.4352134832301,CHHATTISGARH
2,-0.04659586833011487,0.032932214055284736,0.15709711755915237,CHHATTISGARH
3,-0.052797505932398736,0.033711297992535694,0.11730964072794664,CHHATTISGARH
4,-0.052822390075574155,0.0365377203033557,0.1482628401738767,CHHATTISGARH
5,-0.058057760699227745,0.039446780006003,0.1410749628801281,CHHATTISGARH
6,-0.03684830514866644,0.0389965074195626,0.34470331587291836,CHHATTISGARH
-6,0.09095802725692938,0.01589555158798111,1.0513386767962864e-08,MAHARASHTRA
-5,-0.04238021875563776,0.010523390887453857,5.643546389332073e-05,MAHARASHTRA
-4,-0.0778882411907739,0.009467689301008362,1.9237352668932982e-16,MAHARASHTRA
-3,-0.10775541702503849,0.012388957378134684,3.386827113784554e-18,MAHARASHTRA
-2,-0.1040959459819784,0.014437266517511455,5.585932879446875e-13,MAHARASHTRA
-1,0.0,0.0,1.0,MAHARASHTRA
0,-0.04159933329507848,0.013015492169119045,0.0013927958151553235,MAHARASHTRA
1,-0.024784959892338823,0.011179291187234926,0.026620210600512756,MAHARASHTRA
2,-3.439912709704668e-16,8.338881433680044e-31,0.0,MAHARASHTRA
3,-0.06775982567450667,0.018867411714496556,0.0003289463033346138,MAHARASHTRA
4,-0.02391556616599598,0.02006227839296916,0.2332352459142616,MAHARASHTRA
5,0.028159254267087513,0.02582300116307574,0.2755053738673423,MAHARASHTRA
6,0.03296658685745103,0.030362103440825426,0.27757601355860784,MAHARASHTRA
-6,-0.04348427220898251,0.009512936850707625,4.852469706461538e-06,JHARKHAND
-5,-0.029890000202660277,0.013811793632042548,0.030457244382916235,JHARKHAND
-4,0.004665398458754293,0.01662117107865322,0.7789480894501537,JHARKHAND
-3,-0.026222856883137295,0.01604876889163258,0.10226972982180808,JHARKHAND
-2,-0.03387768710200535,0.014836910030829943,0.022410439995169607,JHARKHAND
-1,0.0,0.0,1.0,JHARKHAND
0,0.04517628272761552,0.019063797243484917,0.017800497388508547,JHARKHAND
1,0.015348063324380788,0.0208348190670536,0.46133248010932115,JHARKHAND
2,-0.02948837426792658,0.027391230550124292,0.2816757220233038,JHARKHAND
3,-0.06150369185422783,0.03121783700174853,0.04882165803639049,JHARKHAND
4,-0.038932523742664836,0.03202594392374277,0.22411607700860414,JHARKHAND
5,0.03082362296776528,0.02060621495307774,0.13469507163706276,JHARKHAND
6,0.024416684303138814,0.021409749028749873,0.2541001164963862,JHARKHAND
