state,volume_mn,value_cr,ym,state_norm,pop_2011,vol_pc,val_pc,log_vol_pc,log_val_pc,period,t,treated,treat_date,treat_period,post,did,rel_t,state_code,month_code
MAHARASHTRA,2382.34,278375.41,2025-04,MAHARASHTRA,112374333,21.200036844712574,24772.15237397671,3.054002919634597,10.11747541309574,2025-04-01,24,1,2024-08,2024-08-01,1,1,8,20,23
KARNATAKA,1263.4,173465.79,2025-04,KARNATAKA,61095297,20.679169462094602,28392.658439814117,3.0291268874263197,10.253885885090607,2025-04-01,24,0,,2099-01-01,0,0,-99,15,23
UTTAR PRADESH,1206.85,159811.36,2025-04,UTTAR PRADESH,199812341,6.039917224131817,7998.0725514846945,1.798390307238877,8.986955860569008,2025-04-01,24,0,,2099-01-01,0,0,-99,33,23
TELANGANA,949.72,147127.52,2025-04,TELANGANA,35003674,27.132009057106405,42032.02212430615,3.3007141769001715,10.646187038293334,2025-04-01,24,0,,2099-01-01,0,0,-99,31,23
TAMIL NADU,776.9,115363.33,2025-04,TAMIL NADU,72147030,10.768288036250418,15990.031744896498,2.37660552182493,9.67972079112287,2025-04-01,24,0,,2099-01-01,0,0,-99,30,23
RAJASTHAN,668.4,98142.13,2025-04,RAJASTHAN,68548437,9.750769372028133,14317.194424141282,2.2773461918481326,9.569216501217921,2025-04-01,24,0,,2099-01-01,0,0,-99,28,23
ANDHRA PRADESH,602.36,105315.39,2025-04,ANDHRA PRADESH,84580777,7.121712774050303,12451.456907282845,1.9631482546475436,9.429592915711758,2025-04-01,24,0,,2099-01-01,0,0,-99,1,23
BIHAR,577.79,82713.97,2025-04,BIHAR,104099452,5.550365433239745,7945.668148185833,1.7138637694177146,8.980382172122846,2025-04-01,24,0,,2099-01-01,0,0,-99,4,23
MADHYA PRADESH,575.99,77961.24,2025-04,MADHYA PRADESH,72626809,7.930817943550294,10734.498881810985,2.0707561757942483,9.281218028441836,2025-04-01,24,0,,2099-01-01,0,0,-99,19,23
GUJARAT,538.57,77374.37,2025-04,GUJARAT,60439692,8.910866058020282,12801.913351907882,2.1872714374347155,9.457349919354398,2025-04-01,24,0,,2099-01-01,0,0,-99,10,23
DELHI,527.0,64152.87,2025-04,DELHI,16787941,31.391580420731763,38213.661818325425,3.4465397174912518,10.550948369880182,2025-04-01,24,0,,2099-01-01,0,0,-99,8,23
WEST BENGAL,500.08,74892.26,2025-04,WEST BENGAL,91276115,5.478760790815866,8205.022748831938,1.7008789423251898,9.012501776077562,2025-04-01,24,0,,2099-01-01,0,0,-99,35,23
HARYANA,410.35,57581.17,2025-04,HARYANA,25351462,16.18644321183528,22713.1555568669,2.7841740531177015,10.030699575551155,2025-04-01,24,0,,2099-01-01,0,0,-99,11,23
KERALA,362.28,50824.24,2025-04,KERALA,33406061,10.844738623928155,15214.077469355037,2.383680042921381,9.629976427522397,2025-04-01,24,0,,2099-01-01,0,0,-99,16,23
ODISHA,362.01,44717.27,2025-04,ODISHA,41974218,8.624579974307085,10653.50878008019,2.154616263100544,9.27364457979491,2025-04-01,24,0,,2099-01-01,0,0,-99,25,23
ASSAM,218.83,25997.91,2025-04,ASSAM,31205576,7.012528786521998,8331.17453111585,1.9476983758702642,9.02775972535526,2025-04-01,24,0,,2099-01-01,0,0,-99,3,23
PUNJAB,212.04,34535.98,2025-04,PUNJAB,27743338,7.642915931745488,12448.38670818919,2.033779196821147,9.429346311824872,2025-04-01,24,0,,2099-01-01,0,0,-99,27,23
JHARKHAND,206.06,28022.42,2025-04,JHARKHAND,32988134,6.246488510080625,8494.696911319688,1.8320194674708816,9.047197354990399,2025-04-01,24,1,2024-11,2024-11-01,1,1,5,14,23
CHHATTISGARH,152.75,19636.2,2025-04,CHHATTISGARH,25545198,5.979597417878695,7686.845879996702,1.788353244271384,8.947265819713602,2025-04-01,24,1,2024-02,2024-02-01,1,1,14,6,23
UTTARAKHAND,125.79,15444.37,2025-04,UTTARAKHAND,10086292,12.471381950869556,15312.237638965837,2.523436575594103,9.636407633358475,2025-04-01,24,0,,2099-01-01,0,0,-99,34,23
JAMMU AND KASHMIR,88.43,11544.77,2025-04,JAMMU AND KASHMIR,12541302,7.051102030714195,9205.399885912962,1.9531839210214008,9.127545534973777,2025-04-01,24,0,,2099-01-01,0,0,-99,13,23
HIMACHAL PRADESH,64.32,7821.2,2025-04,HIMACHAL PRADESH,6864602,9.369807601372955,11393.52288741576,2.2374925625681135,9.340800305143569,2025-04-01,24,0,,2099-01-01,0,0,-99,12,23
GOA,36.36,5041.14,2025-04,GOA,1458545,24.928953169082888,34562.80059922731,3.2160299058428725,10.450533255492036,2025-04-01,24,0,,2099-01-01,0,0,-99,9,23
CHANDIGARH,29.74,3711.18,2025-04,CHANDIGARH,1055450,28.17755459756502,35162.06357477853,3.3385257247620665,10.467723041054638,2025-04-01,24,0,,2099-01-01,0,0,-99,5,23
ARUNACHAL PRADESH,18.42,2612.54,2025-04,ARUNACHAL PRADESH,1383727,13.311874379845158,18880.45835630872,2.588656447424138,9.845882716751662,2025-04-01,24,0,,2099-01-01,0,0,-99,2,23
PUDUCHERRY,17.44,2384.85,2025-04,PUDUCHERRY,1247953,13.974885272121627,19110.09469106609,2.637261809499173,9.857971992275212,2025-04-01,24,0,,2099-01-01,0,0,-99,26,23
MEGHALAYA,14.32,1971.84,2025-04,MEGHALAYA,2966889,4.826604567949795,6646.15359725288,1.574143232450438,8.801793559880233,2025-04-01,24,0,,2099-01-01,0,0,-99,22,23
TRIPURA,13.94,1936.41,2025-04,TRIPURA,3673917,3.79431544044136,5270.696099013669,1.3335040099759023,8.569917719912043,2025-04-01,24,0,,2099-01-01,0,0,-99,32,23
MANIPUR,13.51,2844.24,2025-04,MANIPUR,2855794,4.730733379228334,9959.541899730862,1.5540802389477208,9.206286355517962,2025-04-01,24,0,,2099-01-01,0,0,-99,21,23
DADRA & NAGAR HAVELI & DAMAN & DIU,11.91,1205.3,2025-04,DADRA AND NAGAR HAVELI & DAMAN AND DIU,586956,20.291129147670354,20534.758993859847,3.010183802741259,9.929874289962394,2025-04-01,24,0,,2099-01-01,0,0,-99,7,23
NAGALAND,10.89,1769.78,2025-04,NAGALAND,1978502,5.50416426164846,8945.050346170992,1.70550494423522,9.098855624341848,2025-04-01,24,0,,2099-01-01,0,0,-99,24,23
MIZORAM,9.76,1555.83,2025-04,MIZORAM,1097206,8.895321389055473,14179.926103211248,2.185525451893458,9.559582588733416,2025-04-01,24,0,,2099-01-01,0,0,-99,23,23
SIKKIM,8.65,1221.5,2025-04,SIKKIM,610577,14.166927349048523,20005.66677093962,2.6509101882022708,9.903770850950323,2025-04-01,24,0,,2099-01-01,0,0,-99,29,23
ANDAMAN & NICOBAR,3.79,619.48,2025-04,ANDAMAN AND NICOBAR ISLANDS,380581,9.958458251988407,16277.218253144534,2.298422265637615,9.6975217559853,2025-04-01,24,0,,2099-01-01,0,0,-99,0,23
LADAKH,3.63,651.93,2025-04,LADAKH,274289,13.234216465115262,23767.99652920824,2.5828056321974655,10.076095271114506,2025-04-01,24,0,,2099-01-01,0,0,-99,17,23
